radius,average_local_order_parameter,average_n_close_cells
0.65,,0.0
0.8595444826312565,,0.0
1.1366411040335909,0.9432128514376347,0.04550625711035267
1.5030670610830352,0.8354185516330818,0.16837315130830488
1.987619999044155,0.7158097074463727,0.40955631399317405
2.628381236532224,0.6223857975889868,1.0967007963594995
3.4757086001735273,0.5625816248179393,1.9704209328782707
4.596194077712559,0.53666804400828,3.3811149032992036
6.07789732400044,0.4930079551810982,5.708759954493743
8.037266324375164,0.47277671619445055,9.665529010238908
10.628289114699482,0.44722712593883623,16.696245733788395
14.054595797461216,0.4366096295867649,28.22980659840728
18.585461958954184,0.42945761480028294,47.78839590443686
24.57697120611104,0.4287866374335501,81.31740614334471
32.5,0.4275327106977907,134.02502844141068
