Feature,Median,Mean,Standard Deviation
Perimeter_MICRON,8.42,8.76,1.85
Surface_area_MICRON^2,2.85,2.97,0.72
Convex_hull_area_MICRON^2,3.04,3.19,0.83
Solidity,0.94,0.93,0.02
Length_MICRON,3.61,3.76,0.87
Ellipse_major_axis_MICRON,3.24,3.39,0.81
Width_MICRON,0.74,0.75,0.06
Ellipse_minor_axis_MICRON,0.78,0.78,0.03
Aspect_ratio,4.77,5.14,1.52
Ellipse_aspect_ratio,4.16,4.33,0.97
Mean_intensity,5669.37,5682.1,148.0
