IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
17,0,24.05,24.09,0.84,0.88,6.63,2.29,2.4,0.96,2.76,2.38,0.85,0.84,3.25,2.84,0.6,34.44,33.51,4783,6866,5458.62
18,0,74.95,74.96,0.98,0.98,5.85,1.96,2.05,0.96,2.36,2.07,0.83,0.82,2.83,2.51,2.45,140.6,142.23,4668,6481,5326.75
19,0,50.05,50.07,1.5,1.52,6.74,2.38,2.5,0.95,2.78,2.4,0.85,0.85,3.28,2.81,2.14,122.57,122.81,4664,6382,5265.1
20,0,70.92,70.97,2.6,2.62,9.2,3.48,3.79,0.92,3.98,3.53,0.72,0.89,5.55,3.96,1.67,95.62,94.89,4685,7028,5465.84
21,0,26.32,26.34,2.15,2.2,7.14,2.57,2.66,0.97,3.03,2.61,0.83,0.85,3.67,3.07,0.82,46.74,46.42,4911,7470,5668.34
22,0,104.26,104.28,2.27,2.29,6.35,2.14,2.25,0.95,2.63,2.28,0.83,0.81,3.16,2.81,2.44,140.01,141.79,4751,6958,5514.02
23,0,15.34,15.4,3.19,3.21,7.64,2.86,2.98,0.96,3.25,2.79,0.9,0.89,3.59,3.12,1.0,57.26,55.25,4757,6417,5317.45
24,0,21.19,21.22,2.73,2.77,6.54,2.54,2.64,0.96,2.65,2.22,0.99,0.98,2.67,2.27,2.71,155.32,151.78,4723,6497,5338.79
25,0,32.37,32.37,3.31,3.36,7.51,2.7,2.83,0.95,3.16,2.74,0.9,0.86,3.49,3.2,1.01,57.62,56.52,4739,6851,5545.98
26,0,85.28,85.29,3.58,3.6,8.72,3.01,3.33,0.9,3.73,3.21,0.79,0.87,4.75,3.7,1.96,112.54,115.62,4711,6479,5275.88
27,0,28.41,28.43,2.54,2.54,6.92,2.57,2.69,0.96,2.9,2.48,0.92,0.91,3.15,2.74,0.16,9.04,6.35,4740,7338,5568.53
28,0,108.09,108.15,3.19,3.23,6.57,2.29,2.41,0.95,2.65,2.31,0.84,0.85,3.13,2.71,1.14,65.32,62.43,4771,6639,5357.11
29,0,60.71,60.72,2.79,2.82,7.09,2.4,2.55,0.94,2.92,2.56,0.82,0.82,3.55,3.12,2.78,159.15,157.64,4848,7228,5500.8
30,0,67.92,67.94,2.73,2.74,4.9,1.53,1.61,0.95,1.82,1.55,0.94,0.85,1.94,1.82,0.61,34.82,27.85,4853,6823,5527.25
31,0,69.75,69.76,4.55,4.59,10.09,3.82,4.1,0.93,4.31,3.85,0.79,0.88,5.49,4.36,1.97,113.09,114.05,4789,7104,5494.18
32,0,50.83,50.85,3.97,4.01,6.72,2.36,2.48,0.95,2.79,2.43,0.85,0.84,3.27,2.89,1.36,77.91,79.58,4713,6496,5334.82
33,0,62.47,62.5,4.62,4.62,8.69,3.25,3.53,0.92,3.62,3.17,0.82,0.91,4.4,3.47,1.2,68.96,69.55,4779,7152,5469.75
34,0,66.3,66.37,3.51,3.53,4.9,1.64,1.7,0.96,1.81,1.56,0.97,0.9,1.87,1.74,0.37,21.04,23.79,4798,6501,5353.66
35,0,5.66,5.65,4.75,4.8,7.87,2.89,3.03,0.96,3.42,3.0,0.85,0.85,4.0,3.54,1.42,81.25,85.94,4649,6603,5350.77
36,0,60.77,60.81,4.36,4.38,7.16,2.53,2.67,0.95,3.01,2.57,0.85,0.85,3.55,3.01,2.14,122.66,122.1,4788,7105,5581.93
37,0,23.27,23.28,4.23,4.28,6.48,2.54,2.63,0.97,2.59,2.23,1.11,0.98,2.34,2.28,2.46,141.12,138.97,4884,6560,5405.32
39,0,32.5,32.53,4.75,4.77,8.3,3.03,3.17,0.95,3.6,3.17,0.83,0.84,4.33,3.79,0.68,39.14,38.96,4789,7547,5846.14
40,0,124.8,124.86,5.07,5.07,8.34,2.92,3.11,0.94,3.56,3.13,0.85,0.82,4.2,3.82,1.03,59.22,59.12,4734,6840,5458.63
41,0,107.06,107.07,5.72,5.75,6.83,2.33,2.47,0.95,2.82,2.45,0.82,0.82,3.43,2.99,1.24,71.15,73.11,4845,7425,5663.99
42,0,30.23,30.28,5.59,5.64,7.16,2.64,2.73,0.97,3.03,2.62,0.83,0.87,3.67,3.01,0.82,46.74,46.11,4939,7683,5697.23
43,0,108.36,108.44,7.48,7.5,11.6,4.32,5.27,0.82,5.0,4.24,0.68,1.09,7.37,3.9,1.79,102.77,102.85,4707,7504,5525.34
44,0,125.71,125.73,7.08,7.15,9.59,3.49,3.84,0.91,4.17,3.66,0.65,0.89,6.41,4.13,1.63,93.58,92.27,4659,7032,5532.3
45,0,32.56,32.62,5.98,6.01,5.82,1.82,1.92,0.95,2.34,2.04,0.82,0.77,2.85,2.65,0.34,19.44,20.53,4994,7474,5969.56
46,0,106.02,106.06,7.35,7.38,9.87,3.76,4.01,0.94,4.19,3.74,0.82,0.89,5.1,4.2,1.9,109.0,109.47,4653,7297,5493.26
47,0,8.84,8.89,6.31,6.36,6.41,2.25,2.35,0.96,2.59,2.25,0.9,0.87,2.87,2.58,0.5,28.5,29.93,4731,6492,5302.05
48,0,1.56,1.6,7.48,7.53,8.16,3.18,3.34,0.95,3.38,2.94,0.99,0.94,3.41,3.13,1.18,67.38,62.86,4764,6560,5304.02
49,0,5.72,5.74,7.61,7.63,8.07,2.9,3.12,0.93,3.35,2.95,0.84,0.86,3.96,3.41,1.15,65.92,66.39,4790,6809,5543.85
50,0,33.02,33.06,6.76,6.81,5.6,1.78,1.89,0.94,2.16,1.92,0.85,0.81,2.55,2.38,0.57,32.74,27.13,4906,7562,5744.22
51,0,30.55,30.58,6.89,6.94,5.58,1.81,1.91,0.95,2.2,1.88,0.82,0.83,2.68,2.26,0.33,18.97,22.49,5099,7920,5965.79
52,0,6.83,6.89,7.48,7.52,6.05,2.05,2.14,0.96,2.45,2.14,0.9,0.83,2.72,2.58,1.01,57.99,58.8,4823,6837,5578.49
53,0,35.95,36.0,7.67,7.67,5.59,1.91,1.96,0.97,2.26,1.97,0.93,0.83,2.42,2.37,1.77,101.63,94.1,4724,6566,5328.85
54,0,21.64,21.68,8.12,8.16,6.13,2.18,2.28,0.96,2.48,2.18,0.85,0.87,2.91,2.51,1.47,83.99,88.29,4699,6723,5360.82
