Feature,Median,Mean,Standard Deviation
Perimeter_MICRON,9.44,9.97,2.64
Surface_area_MICRON^2,3.3,3.49,1.08
Convex_hull_area_MICRON^2,3.52,3.82,1.34
Solidity,0.93,0.92,0.03
Length_MICRON,4.08,4.32,1.25
Ellipse_major_axis_MICRON,3.7,3.91,1.13
Width_MICRON,0.76,0.75,0.07
Ellipse_minor_axis_MICRON,0.8,0.81,0.08
Aspect_ratio,5.26,5.84,2.01
Ellipse_aspect_ratio,4.56,4.81,1.24
Mean_intensity,9048.3,9115.08,513.71
