IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
20,0,1123,1123.28,26,26.55,155.04,872,946.0,0.92,67.94,61.98,11.31,12.77,6.01,4.85,0.74,42.61,43.61,6907,11655,8346.73
21,0,534,534.7,31,31.55,108.04,567,594.0,0.95,45.4,40.73,13.15,12.22,3.45,3.33,1.7,97.59,94.55,7093,12112,8565.28
22,0,1488,1488.22,43,43.72,181.18,1059,1152.0,0.92,81.22,73.35,12.81,13.13,6.34,5.59,0.91,52.0,50.61,7092,13902,8827.25
23,0,1426,1426.7,37,37.03,186.55,1090,1182.0,0.92,80.62,73.76,11.18,13.44,7.21,5.49,0.52,29.74,29.7,7086,11743,8304.22
24,0,1961,1961.6,57,57.77,181.94,975,1118.0,0.87,81.3,73.12,12.04,12.72,6.75,5.75,1.66,94.94,92.86,7031,14171,9392.0
25,0,1539,1539.48,56,56.37,179.88,944,1036.0,0.91,77.88,71.11,10.44,12.11,7.46,5.87,1.3,74.36,74.03,7278,13556,9065.27
27,0,29,29.34,52,52.97,150.18,866,914.0,0.95,64.94,58.64,14.14,12.95,4.59,4.53,1.74,99.75,98.55,7127,11700,8412.55
28,0,1553,1553.28,59,59.63,186.37,982,1075.0,0.91,81.27,74.75,10.44,12.1,7.78,6.18,1.25,71.34,72.33,7146,12876,8821.68
29,0,339,339.43,49,49.35,143.24,723,807.0,0.9,62.63,56.27,8.6,11.95,7.28,4.71,2.47,141.48,140.08,7714,13644,9473.55
30,0,357,357.32,47,47.3,123.92,658,696.0,0.95,53.26,47.82,11.4,12.19,4.67,3.92,2.45,140.33,138.13,7190,12900,9010.16
31,0,312,313.0,83,83.78,196.18,1069,1204.0,0.89,88.28,80.54,11.0,12.3,8.03,6.55,1.49,85.45,85.8,7518,14023,9232.12
32,0,464,464.36,68,68.03,200.45,1157,1289.0,0.9,87.71,78.82,10.3,13.71,8.52,5.75,0.5,28.61,29.54,7030,12156,8611.24
33,0,327,326.89,85,85.43,161.7,851,925.0,0.92,72.25,66.32,11.0,11.57,6.57,5.73,1.49,85.24,88.24,7754,14378,9781.02
34,0,1099,1099.27,87,88.17,176.47,969,1072.0,0.9,76.4,69.03,11.4,12.93,6.7,5.34,1.82,104.4,105.32,7004,12786,8604.62
35,0,534,534.87,76,76.23,112.04,570,602.0,0.95,47.52,43.14,12.17,11.76,3.91,3.67,1.42,81.53,85.37,7225,12688,8749.76
36,0,499,499.85,74,75.11,117.68,615,659.0,0.93,49.41,44.93,12.21,12.33,4.05,3.65,0.94,54.06,50.83,7456,14080,9206.98
37,0,398,398.1,70,70.91,167.01,948,1013.0,0.94,73.68,66.82,11.18,12.61,6.59,5.3,0.14,7.8,6.33,7179,13627,8808.93
38,0,493,493.14,107,107.05,199.42,1084,1282.0,0.85,90.0,78.12,10.0,13.93,9.0,5.61,0.93,53.13,52.7,7555,14541,9639.79
39,0,967,967.79,85,85.67,207.15,1231,1412.0,0.87,91.59,83.26,11.18,14.08,8.19,5.91,2.95,169.3,170.89,6935,11689,8374.37
40,0,2005,2005.07,84,84.19,139.11,754,817.0,0.92,60.53,55.11,12.17,12.51,4.98,4.4,3.01,172.41,176.61,7121,13980,9095.45
41,0,1220,1220.48,89,89.57,169.11,1013,1081.0,0.94,75.24,68.79,13.04,13.16,5.77,5.23,0.08,4.57,2.62,6990,12084,8347.71
42,0,35,35.34,116,115.96,143.11,836,889.0,0.94,62.13,56.14,13.0,13.23,4.78,4.24,1.64,93.69,92.25,7092,11495,8439.14
43,0,227,227.41,99,99.14,196.91,1137,1247.0,0.91,87.3,79.78,11.18,12.93,7.81,6.17,2.97,170.11,171.7,7058,11552,8304.38
44,0,374,374.15,98,97.93,181.6,1060,1169.0,0.91,80.75,74.11,12.17,13.15,6.64,5.64,3.0,172.17,174.97,7148,13702,9092.5
45,0,1591,1591.17,149,151.5,395.51,2731,3260.0,0.84,183.45,162.52,12.81,17.44,14.32,9.32,0.73,41.69,41.38,7160,13566,8674.74
47,0,2004,2004.13,117,117.48,139.44,744,793.0,0.94,59.09,52.98,13.42,12.47,4.4,4.25,1.15,66.04,62.71,7299,13551,9036.38
48,0,1081,1081.73,127,127.5,166.57,925,1006.0,0.92,72.78,65.6,11.18,12.67,6.51,5.18,1.35,77.3,77.08,7100,12822,8704.57
49,0,465,465.28,112,112.04,121.92,660,695.0,0.95,52.63,47.47,11.4,12.39,4.62,3.83,0.68,38.83,41.9,7309,14147,9040.45
50,0,1039,1039.44,138,139.13,224.55,1297,1473.0,0.88,98.23,88.62,12.08,13.86,8.13,6.39,1.96,112.13,112.9,7180,11905,8545.98
51,0,1542,1542.21,134,133.68,233.95,1358,1666.0,0.82,104.81,91.59,11.4,15.66,9.19,5.85,0.66,37.64,38.25,6933,12004,8426.32
52,0,171,171.1,125,125.03,146.07,806,867.0,0.93,63.41,57.41,11.4,12.59,5.56,4.56,0.91,52.05,51.04,7042,11906,8528.96
53,0,1936,1935.75,166,166.41,291.5,1685,1952.0,0.86,134.84,122.01,11.05,13.38,12.21,9.12,1.68,96.39,95.04,7154,11789,8537.61
54,0,1148,1149.4,138,138.81,172.18,969,1123.0,0.86,75.33,67.17,11.05,14.18,6.82,4.74,1.48,84.67,86.75,7115,11888,8441.34
55,0,536,536.46,118,118.88,112.02,590,625.0,0.94,46.23,41.62,11.4,12.57,4.05,3.31,0.68,38.85,38.64,7153,12575,8696.79
57,0,334,334.54,126,126.6,171.78,897,982.0,0.91,73.68,67.7,10.44,12.03,7.06,5.63,0.32,18.19,19.78,7858,14318,9482.41
58,0,1384,1385.0,128,128.83,248.51,1402,1610.0,0.87,110.44,100.32,10.2,13.23,10.83,7.58,0.28,16.3,15.17,6959,13613,8747.45
59,0,1640,1640.91,135,135.88,179.97,1018,1093.0,0.93,78.23,71.34,10.82,12.82,7.23,5.56,0.57,32.47,31.8,7114,13560,8799.75
61,0,1219,1219.32,139,139.23,183.62,1025,1114.0,0.92,80.16,73.04,13.04,12.6,6.15,5.8,2.56,146.71,147.44,7278,14949,9468.77
62,0,1737,1737.48,137,137.26,106.87,586,612.0,0.96,44.55,39.98,13.15,12.82,3.39,3.12,1.73,99.04,95.24,6989,12040,8472.58
63,0,1255,1255.11,140,140.37,154.31,879,932.0,0.94,66.61,60.46,12.81,12.9,5.2,4.69,2.52,144.16,143.67,7300,14116,9055.81
64,0,951,951.62,145,145.74,134.57,700,754.0,0.93,57.87,51.34,11.7,12.07,4.94,4.25,1.25,71.88,72.2,7235,13337,8846.13
