IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
20,0,73.0,73.01,1.69,1.73,10.08,3.68,4.0,0.92,4.42,4.03,0.74,0.83,6.01,4.85,0.74,42.61,43.61,6907,11655,8346.73
21,0,34.71,34.76,2.02,2.05,7.02,2.4,2.51,0.95,2.95,2.65,0.85,0.79,3.45,3.33,1.7,97.59,94.55,7093,12112,8565.28
22,0,96.72,96.73,2.79,2.84,11.78,4.47,4.87,0.92,5.28,4.77,0.83,0.85,6.34,5.59,0.91,52.0,50.61,7092,13902,8827.25
23,0,92.69,92.74,2.41,2.41,12.13,4.61,4.99,0.92,5.24,4.79,0.73,0.87,7.21,5.49,0.52,29.74,29.7,7086,11743,8304.22
24,0,127.47,127.5,3.71,3.76,11.83,4.12,4.72,0.87,5.28,4.75,0.78,0.83,6.75,5.75,1.66,94.94,92.86,7031,14171,9392.0
25,0,100.03,100.07,3.64,3.66,11.69,3.99,4.38,0.91,5.06,4.62,0.68,0.79,7.46,5.87,1.3,74.36,74.03,7278,13556,9065.27
27,0,1.89,1.91,3.38,3.44,9.76,3.66,3.86,0.95,4.22,3.81,0.92,0.84,4.59,4.53,1.74,99.75,98.55,7127,11700,8412.55
28,0,100.95,100.96,3.83,3.88,12.11,4.15,4.54,0.91,5.28,4.86,0.68,0.79,7.78,6.18,1.25,71.34,72.33,7146,12876,8821.68
29,0,22.04,22.06,3.19,3.21,9.31,3.05,3.41,0.9,4.07,3.66,0.56,0.78,7.28,4.71,2.47,141.48,140.08,7714,13644,9473.55
30,0,23.21,23.23,3.06,3.07,8.05,2.78,2.94,0.95,3.46,3.11,0.74,0.79,4.67,3.92,2.45,140.33,138.13,7190,12900,9010.16
31,0,20.28,20.35,5.4,5.45,12.75,4.52,5.09,0.89,5.74,5.24,0.72,0.8,8.03,6.55,1.49,85.45,85.8,7518,14023,9232.12
32,0,30.16,30.18,4.42,4.42,13.03,4.89,5.45,0.9,5.7,5.12,0.67,0.89,8.52,5.75,0.5,28.61,29.54,7030,12156,8611.24
33,0,21.25,21.25,5.53,5.55,10.51,3.6,3.91,0.92,4.7,4.31,0.72,0.75,6.57,5.73,1.49,85.24,88.24,7754,14378,9781.02
34,0,71.44,71.45,5.66,5.73,11.47,4.09,4.53,0.9,4.97,4.49,0.74,0.84,6.7,5.34,1.82,104.4,105.32,7004,12786,8604.62
35,0,34.71,34.77,4.94,4.95,7.28,2.41,2.54,0.95,3.09,2.8,0.79,0.76,3.91,3.67,1.42,81.53,85.37,7225,12688,8749.76
36,0,32.44,32.49,4.81,4.88,7.65,2.6,2.78,0.93,3.21,2.92,0.79,0.8,4.05,3.65,0.94,54.06,50.83,7456,14080,9206.98
37,0,25.87,25.88,4.55,4.61,10.86,4.01,4.28,0.94,4.79,4.34,0.73,0.82,6.59,5.3,0.14,7.8,6.33,7179,13627,8808.93
38,0,32.05,32.05,6.96,6.96,12.96,4.58,5.42,0.85,5.85,5.08,0.65,0.91,9.0,5.61,0.93,53.13,52.7,7555,14541,9639.79
39,0,62.86,62.91,5.53,5.57,13.46,5.2,5.97,0.87,5.95,5.41,0.73,0.92,8.19,5.91,2.95,169.3,170.89,6935,11689,8374.37
40,0,130.33,130.33,5.46,5.47,9.04,3.19,3.45,0.92,3.93,3.58,0.79,0.81,4.98,4.4,3.01,172.41,176.61,7121,13980,9095.45
41,0,79.3,79.33,5.79,5.82,10.99,4.28,4.57,0.94,4.89,4.47,0.85,0.86,5.77,5.23,0.08,4.57,2.62,6990,12084,8347.71
42,0,2.27,2.3,7.54,7.54,9.3,3.53,3.76,0.94,4.04,3.65,0.84,0.86,4.78,4.24,1.64,93.69,92.25,7092,11495,8439.14
43,0,14.76,14.78,6.44,6.44,12.8,4.8,5.27,0.91,5.67,5.19,0.73,0.84,7.81,6.17,2.97,170.11,171.7,7058,11552,8304.38
44,0,24.31,24.32,6.37,6.37,11.8,4.48,4.94,0.91,5.25,4.82,0.79,0.85,6.64,5.64,3.0,172.17,174.97,7148,13702,9092.5
45,0,103.42,103.43,9.69,9.85,25.71,11.54,13.77,0.84,11.92,10.56,0.83,1.13,14.32,9.32,0.73,41.69,41.38,7160,13566,8674.74
47,0,130.26,130.27,7.61,7.64,9.06,3.14,3.35,0.94,3.84,3.44,0.87,0.81,4.4,4.25,1.15,66.04,62.71,7299,13551,9036.38
48,0,70.27,70.31,8.26,8.29,10.83,3.91,4.25,0.92,4.73,4.26,0.73,0.82,6.51,5.18,1.35,77.3,77.08,7100,12822,8704.57
49,0,30.23,30.24,7.28,7.28,7.92,2.79,2.94,0.95,3.42,3.09,0.74,0.81,4.62,3.83,0.68,38.83,41.9,7309,14147,9040.45
50,0,67.53,67.56,8.97,9.04,14.6,5.48,6.22,0.88,6.38,5.76,0.79,0.9,8.13,6.39,1.96,112.13,112.9,7180,11905,8545.98
51,0,100.23,100.24,8.71,8.69,15.21,5.74,7.04,0.82,6.81,5.95,0.74,1.02,9.19,5.85,0.66,37.64,38.25,6933,12004,8426.32
52,0,11.12,11.12,8.12,8.13,9.49,3.41,3.66,0.93,4.12,3.73,0.74,0.82,5.56,4.56,0.91,52.05,51.04,7042,11906,8528.96
53,0,125.84,125.82,10.79,10.82,18.95,7.12,8.25,0.86,8.76,7.93,0.72,0.87,12.21,9.12,1.68,96.39,95.04,7154,11789,8537.61
54,0,74.62,74.71,8.97,9.02,11.19,4.09,4.74,0.86,4.9,4.37,0.72,0.92,6.82,4.74,1.48,84.67,86.75,7115,11888,8441.34
55,0,34.84,34.87,7.67,7.73,7.28,2.49,2.64,0.94,3.0,2.71,0.74,0.82,4.05,3.31,0.68,38.85,38.64,7153,12575,8696.79
57,0,21.71,21.75,8.19,8.23,11.17,3.79,4.15,0.91,4.79,4.4,0.68,0.78,7.06,5.63,0.32,18.19,19.78,7858,14318,9482.41
58,0,89.96,90.03,8.32,8.37,16.15,5.92,6.8,0.87,7.18,6.52,0.66,0.86,10.83,7.58,0.28,16.3,15.17,6959,13613,8747.45
59,0,106.6,106.66,8.78,8.83,11.7,4.3,4.62,0.93,5.08,4.64,0.7,0.83,7.23,5.56,0.57,32.47,31.8,7114,13560,8799.75
61,0,79.23,79.26,9.04,9.05,11.94,4.33,4.71,0.92,5.21,4.75,0.85,0.82,6.15,5.8,2.56,146.71,147.44,7278,14949,9468.77
62,0,112.91,112.94,8.91,8.92,6.95,2.48,2.59,0.96,2.9,2.6,0.85,0.83,3.39,3.12,1.73,99.04,95.24,6989,12040,8472.58
