SPOT_ID,TRACK_ID,PREV_TRACK_ID,POSITION_X,POSITION_Y,FRAME,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,ANGLE,ANGULAR_VELOCITY,TOTAL_DISPLACEMENT_VECTOR,TOTAL_DISPLACEMENT,FRAME_GAP,STEP_SPEED,MSD_LAG_TIME,MSD
6858,0,,82.944560561294,86.72763417035414,0,2.0059946579336585,0.5144138381289999,1.5194297356538382,3.8995736686045643,2.860324999999998,,,"[0.0, 0.0]",0.0,0,0.0,0,0.0
7912,0,,82.96771135266596,87.29369685991342,1,2.106270749837167,0.46655663734941993,1.5113666187777306,4.5145017372450535,2.915250000000012,,,"[0.023150791371961077, 0.5660626895592884]",0.5665359014680741,1,0.5665359014680741,1,0.08477815868168048
7697,0,,82.96746161467355,87.29858964835478,2,2.042450005867883,0.4610094079028416,1.497517387808177,4.430386822601096,2.843425000000004,0.09187294967104234,,"[-0.00024973799240513017, 0.004892788441352991]",0.004899157866071268,1,0.004899157866071268,2,0.2580438609220392
7500,0,,82.98928722346994,87.36642244594206,3,2.079336901795542,0.45412579538996034,1.5273199617556075,4.578768532648544,2.8328625000000103,0.36229280979384976,0.2704198601228074,"[0.02182560879639084, 0.06783279758728611]",0.07125760049181296,1,0.07125760049181296,3,0.49675497989133516
7398,0,,82.96022818203348,87.41268754687479,4,2.0490342386861666,0.47361848333314643,1.55688033580259,4.326339259958447,2.8159625000000035,0.8721193714073974,0.5098265616135476,"[-0.029059041436468647, 0.04626510093272884]",0.05463412352662014,1,0.05463412352662014,4,0.794991552367012
7331,0,,82.94031219980747,87.70830571565669,5,2.0851615455885284,0.47239665856520063,1.4945635329801907,4.4140057042777165,2.9321500000000102,0.49355538327668635,-0.378563988130711,"[-0.019915982226009987, 0.2956181687818997]",0.29628828539446256,1,0.29628828539446256,5,1.1469969964179856
7033,0,,83.01422254616594,87.83491375122058,6,2.0450167027870494,0.4779919218386707,1.5274022452954898,4.278349924661013,2.898350000000014,0.5956713686996972,0.10211598542301081,"[0.07391034635847404, 0.12660803556389055]",0.14660263970398682,1,0.14660263970398682,6,1.531959425707474
8089,0,,83.03465873016096,87.86365873016247,7,2.085502657083226,0.4633459087882105,1.525174177774019,4.500962709560651,2.8835625000000116,0.08963346761186385,-0.5060379010878333,"[0.020436183995016677, 0.02874497894188721]",0.035269128577946396,1,0.035269128577946396,7,1.9747432027938139
8142,0,,82.93120438401516,87.68496020081454,8,1.9602206638572817,0.5283420263837921,1.5573466009040349,3.710135794560777,2.8751125000000046,3.0483412637117357,2.958707796099872,"[-0.10345434614579574, -0.17869852934792618]",0.20648478425192923,1,0.20648478425192923,8,2.483077254585528
9823,0,,83.04571783407614,87.5217411823124,9,2.0603459968271025,0.46408725019152014,1.4890289191691966,4.439566042757771,2.834975000000015,1.136579289705214,-1.9117619740065217,"[0.11451345006098279, -0.16321901850214715]",0.199383495419439,1,0.199383495419439,9,3.0786253735211067
7364,0,,83.09610841423283,87.64811488672416,10,2.0756263528817165,0.4602735229119145,1.5088898906658061,4.509549755871885,2.8286375000000135,2.15037588457857,1.0137965948733558,"[0.05039058015668729, 0.12637370441176188]",0.1360497105299342,1,0.1360497105299342,10,3.754385836227813
8886,0,,83.13425012273933,87.8324386352586,11,2.0271017946923133,0.4932804702009316,1.5218641023132284,4.109430470390605,2.868775,0.17537399772807036,-1.9750018868504995,"[0.038141708506501004, 0.1843237485344389]",0.1882286752904083,1,0.1882286752904083,11,4.4532109792217165
7259,0,,83.16098690835507,88.14464753272473,12,2.01465642955674,0.46436589465436623,1.497908030863291,4.338510757893355,2.796949999999997,0.11861889351412976,-0.0567551042139406,"[0.026736785615739223, 0.3122088974661352]",0.3133516417095684,1,0.3133516417095684,12,5.193019247522915
9080,0,,83.35399488303999,88.3985112085759,13,2.0957653498268396,0.4644139906584317,1.508788125321531,4.512709332583906,2.8899000000000137,0.5646201011223316,0.4460012076082019,"[0.19300797468491737, 0.2538636758511643]",0.31890256224846913,1,0.31890256224846913,13,5.975648317167779
15776,0,,83.68241769547745,88.66350096829274,14,2.1283702337421952,0.4543126294725381,-1.5515992316459342,4.684814147062688,2.908912500000002,0.24183998866537693,-0.3227801124569547,"[0.3284228124374664, 0.26498975971684047]",0.4219965834981654,1,0.4219965834981654,14,6.746737043812343
15256,0,,83.67834551657236,88.75162402534471,15,2.037445379747892,0.47694837310864857,1.6187982700062613,4.271836313159545,2.8899,0.938066436269286,0.6962264476039091,"[-0.0040721789050905954, 0.08812305705197332]",0.08821709485819859,1,0.08821709485819859,15,7.529711073568063
17671,0,,83.89527939393929,88.9079218181828,16,2.108487935861562,0.45984292921630193,1.6775022879296861,4.585235092023709,2.904687499999995,0.9926306521979495,0.05456421592866356,"[0.2169338773669267, 0.15629779283808887]",0.2673748439840722,1,0.2673748439840722,16,8.351342722151635
16298,0,,84.03797340168595,89.03137872135585,17,2.0886961637968966,0.44638500977637513,-1.403375270041713,4.679135988108713,2.88567499999999,0.08890173644971577,-0.9037289157482338,"[0.14269400774665542, 0.12345690317305014]",0.18868806742314798,1,0.18868806742314798,17,9.140268261197566
15324,0,,84.12192937439008,89.22142717497775,18,2.0534105974855295,0.4626551464458731,1.8127175276273102,4.438317855663931,2.881450000000004,0.4415704373384333,0.35266870088871755,"[0.08395597270413191, 0.19004845362189826]",0.2077667443956606,1,0.2077667443956606,18,9.879367833670548
15611,0,,84.09299239591891,89.55349476440581,19,2.077835596462263,0.45548208588532796,1.904991113426954,4.5618382387608944,2.8244124999999993,0.5029034436412941,0.061333006302860815,"[-0.028936978471165276, 0.332067589428064]",0.3333260155937517,1,0.3333260155937517,19,10.644733629378182
12985,0,,84.05637143900692,89.58890491843248,20,2.1013161296861194,0.45686247951780656,1.9162051308540773,4.5994499962088025,2.892012499999997,0.7152837674614004,0.2123803238201063,"[-0.036620956911988856, 0.03541015402666403]",0.050940882337684484,1,0.050940882337684484,20,11.368964065655732
15593,0,,84.11693998053089,89.74530374970682,21,2.0717956992727005,0.45481014372311357,1.9329521693325555,4.555297914670084,2.8920125000000008,1.171690136084461,0.4564063686230605,"[0.060568541523963404, 0.15639883127434473]",0.1677174488427517,1,0.1677174488427517,21,12.142221393231226
16230,0,,84.18735380117285,89.71903752436971,22,2.0197789847517704,0.48819351308681364,-1.148450598823168,4.137250763495091,2.8898999999999875,1.5583516247626188,0.38666148867815786,"[0.07041382064196, -0.026266225337110427]",0.07515331483612665,1,0.07515331483612665,22,13.017569735134511
16974,0,,84.2386488673103,89.85285598705173,23,2.0373211846204553,0.4731068674181186,-1.1168902043082871,4.30626001211673,2.8286374999999966,1.5617923251131363,0.003440700350517467,"[0.05129506613745605, 0.13381846268201514]",0.14331282135462922,1,0.14331282135462922,23,14.069581172907899
14807,0,,84.38233269963322,90.03250506972236,24,1.986266908031062,0.4605118564117701,2.0032065753370594,4.31317213742924,2.777937499999988,0.3085772511030723,-1.2532150740100638,"[0.14368383232292103, 0.17964908267063606]",0.23004094543233455,1,0.23004094543233455,24,15.202951895393223
16719,0,,84.48591508051005,90.16405685698615,25,2.0383003887027495,0.4817186638399127,-1.11212807112483,4.231308732061352,2.8856749999999987,0.007617029201635104,-0.30096022190143723,"[0.10358238087682992, 0.13155178726378836]",0.16743709971332424,1,0.16743709971332424,25,16.255883812436057
15047,0,,84.42816125861098,90.37762659784414,26,2.0661040560781356,0.46930593457775466,2.0366535134414487,4.4024673541302155,2.8645499999999915,0.9311081657821514,0.9234911365805163,"[-0.057753821899069635, 0.21356974085799152]",0.2212409052460668,1,0.2212409052460668,26,17.24084926799653
12709,0,,84.44616137947662,90.68833273251734,27,2.0376445268377608,0.48405075617750465,2.0549777785968866,4.2095679034339595,2.9300375000000085,0.3219727934741416,-0.6091353723080097,"[0.018000120865636404, 0.31070613467319674]",0.31122709791201697,1,0.31122709791201697,27,18.287658823996793
22872,0,,84.48623873873944,90.91629379379302,28,1.9859717672118093,0.4767864179615096,-1.0187119476410358,4.1653278960898055,2.813850000000007,0.11616120677047188,-0.20581158670366972,"[0.040077359262824075, 0.2279610612756784]",0.23145721026447863,1,0.23145721026447863,28,19.37081906397057
23193,0,,84.5533263624709,91.12598795942719,29,2.0132595012932826,0.4632360091885315,-0.9968258827276372,4.346077293991,2.777937499999994,0.13561070971567474,0.019449502945202854,"[0.06708762373145305, 0.20969416563417553]",0.2201644666129075,1,0.2201644666129075,29,20.545842722306723
22330,0,,84.72012274859091,91.13077781890658,30,2.0497273915936582,0.45355664134568124,2.2105717166812116,4.519231347847125,2.8539874999999943,1.232447232686804,1.0968365229711292,"[0.16679638612001213, 0.004789859479387815]",0.16686514667997165,1,0.16686514667997165,30,21.793685484313478
20942,0,,84.78263981689275,91.11418027717401,31,2.0751774893724635,0.44661310226903617,2.243996330755174,4.646476959205718,2.8455374999999954,0.2882107243954442,-0.9442365082913597,"[0.06251706830184389, -0.016597541732565446]",0.0646827814848872,1,0.0646827814848872,31,23.183583854427233
22920,0,,85.0179330611291,91.08418151448345,32,2.0718415990913512,0.45219155089847685,2.2527665194703497,4.581778662106201,2.8455374999999954,0.1326907460864678,-0.1555199783089764,"[0.23529324423634534, -0.02999876269056756]",0.2371978847844758,1,0.2371978847844758,32,24.653597492970835
21431,0,,84.97328921568003,90.9945514705815,33,2.0535860784693027,0.4751225392496423,2.3578024627926153,4.322224076577206,2.8730000000000038,1.9061038574960933,1.7734131114096257,"[-0.04464384544907318, -0.0896300439019484]",0.10013300008661445,1,0.10013300008661445,33,26.155810027130048
21781,0,,84.9646313640722,90.97855187319917,34,2.0959714890921606,0.46340874167806767,2.40930742886837,4.522943355583573,2.9321500000000107,0.033888632390094514,-1.872215225105999,"[-0.008657851607821954, -0.01599959738233281]",0.01819190784002096,1,0.01819190784002096,34,27.702546671241073
22469,0,,84.670507925084,91.28314961576787,35,2.077311701447149,0.46318721985982114,-0.6441168538048235,4.484820850790801,2.9321499999999943,1.8776799402453048,1.8437913078552104,"[-0.29412343898820836, 0.30459774256870276]",0.4234245884926855,1,0.4234245884926855,35,29.30892232271517
