IDENTIFIER,TRACK_ID,TRACK_FRAME_LENGTH,TOTAL_DISPLACEMENT_PIX,TOTAL_DISPLACEMENT_MIC,END_TO_END_DISTANCE_PIX,END_TO_END_DISTANCE_MIC,PERSISTENCE,SINUOSITY,MAX_DISTANCE_PIX,MAX_DISTANCE_MIC,MEAN_DIRECTIONAL_CHANGE_RAD,MEAN_DIRECTIONAL_CHANGE_DEG,SPEED_PIX_FR,SPEED_MIC_SEC,AVERAGE_ANGULAR_VELOCITY_RAD_FR,AVERAGE_ANGULAR_VELOCITY_DEG_SEC
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,0,60,6.367624490843704,0.41389559190484077,3.4470138536975043,0.2240559004903378,0.5413343482572067,1.847287176990412,4.25679996277309,0.2766919975802508,0.8662804140410751,49.63421159939911,0.1079258388278594,0.0014030359047621723,0.021287176509476605,0.2439330743486074
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,1,60,5.924101589369306,0.3850666033090049,3.5422540547638612,0.23024651355965098,0.5979394514638934,1.6724101370996174,4.263700866079112,0.2771405562951423,0.7542398476018504,43.214760008176434,0.10040850151473399,0.0013053105196915418,0.008907876883502067,0.10207674996936347
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,2,60,16.674690852581506,1.083854905417798,2.4208512452020914,0.15735533093813595,0.14518117706675834,6.887945257119469,5.406411345204166,0.3514167374382708,1.0015543928067847,57.38483966061658,0.2826218788573136,0.0036740844251450773,-0.0020780118748835023,-0.023812262041778394
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,3,60,10.353112993843022,0.6729523445997965,4.166759851036092,0.270839390317346,0.4024644426767154,2.4846915502626468,4.27225557607881,0.27769661244512267,1.2066222076940407,69.13435996762638,0.17547649142106816,0.002281194388473886,0.0028287722708759833,0.03241534246496631
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,4,60,12.52609945247673,0.8141964644109875,4.100409962117751,0.2665266475376538,0.32734930595709066,3.0548407520713705,6.724016771741923,0.437061090163225,1.0834237239231759,62.07560680514486,0.2123067703809615,0.0027599880149524994,-0.033776174241308875,-0.3870464464250968
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,5,60,5.531822344529527,0.35956845239441926,0.7154468265586742,0.04650404372631382,0.1293329362368599,7.731982502651942,2.09397923569096,0.1361086503199124,1.2296768404990457,70.45529312557701,0.09375970075473773,0.0012188761098115906,0.020785428155355105,0.2381834617348479
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,6,60,11.052523288984641,0.7184140137840017,2.228162856370012,0.14483058566405077,0.20159766219092093,4.960374982190818,4.930481083483715,0.32048127042644153,0.860151528111619,49.283052302524155,0.18733090320312948,0.0024353017416406833,0.004673434635888162,0.05355361609333006
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,7,60,19.96472570395554,1.2977071707571102,10.520838290105374,0.6838544888568493,0.5269713416609033,1.8976364005833968,11.053728957731403,0.7184923822525412,0.9291075925298113,53.2339437655188,0.33838518142297525,0.004399007358498679,-0.0013891519888948418,-0.015918509213175728
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,8,60,1.7932399192334798,0.11656059475017619,0.7407702829276698,0.048150068390298534,0.41309044873611334,2.420777345638439,0.7619575762787274,0.04952724245811728,1.1735175239158553,67.23760130502116,0.030393896936160673,0.00039512066017008873,0.02173729312549334,0.24909103082590128
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,9,60,1.6820981852540628,0.1093363820415141,0.9342203244406381,0.060724321088641474,0.5553898890269203,1.800536919662088,0.9628072977577808,0.06258247435425576,1.156901059456679,66.28554802108123,0.028510138733119708,0.0003706318035305562,0.0019117629637282396,0.02190718985021
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,10,60,7.875479556011495,0.5119061711407472,2.109851079099657,0.1371403201414777,0.2679012832290536,3.732718216004242,3.2197207237425203,0.20928184704326383,0.9938542849192127,56.943655976863305,0.1334827043391779,0.0017352751564093127,-0.002134698214987789,-0.02446183965058215
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,11,25,3.4592444068958343,0.22485088644822923,0.8396392422595419,0.05457655074687023,0.24272330702790534,4.119917498837606,1.2102084068638617,0.078663546446151,0.9642811789378861,55.24924181704021,0.14413518362065977,0.001873757387068577,0.045739046141371614,0.5241308605709454
241003_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_1h30_5s_1003_SC10pc_spots.csv,12,60,10.497595706110586,0.6823437208971881,6.292151506982304,0.40898984795384974,0.5993897729667452,1.6683634674819203,6.845946285562594,0.44498650856156863,0.7694605649555666,44.086842873705905,0.17792535095102688,0.0023130295623633493,-0.01825108079999953,-0.20914198027844466
