IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
283,0,89.7,89.72,17.36,17.38,10.15,3.66,3.92,0.93,4.52,4.08,0.74,0.8,6.1,5.1,2.44,139.67,137.86,7193,14136,9283.32
284,0,4.68,4.69,17.75,17.76,8.07,2.59,2.77,0.94,3.46,3.06,0.74,0.74,4.66,4.12,1.28,73.61,75.1,8466,16375,10544.94
285,0,15.41,15.42,17.36,17.4,8.76,2.88,3.06,0.94,3.84,3.42,0.7,0.74,5.46,4.64,2.55,146.04,143.84,8192,15486,10371.74
286,0,17.36,17.38,17.62,17.67,11.7,3.87,4.41,0.88,5.12,4.63,0.76,0.77,6.75,5.98,2.56,146.92,147.96,8339,15304,10364.29
287,0,28.41,28.46,17.94,17.99,9.13,3.2,3.46,0.93,3.81,3.46,0.84,0.82,4.51,4.2,1.17,66.93,68.74,7176,12543,8818.54
288,0,29.9,29.96,17.68,17.7,6.91,2.36,2.39,0.99,2.95,2.68,0.79,0.77,3.73,3.47,1.44,82.41,89.17,7154,12468,8915.23
289,0,87.62,87.68,17.88,17.94,11.54,4.33,4.64,0.93,5.1,4.61,0.83,0.85,6.12,5.45,2.48,142.25,142.32,7271,15122,9240.14
290,0,93.8,93.8,17.09,17.16,7.91,2.79,2.98,0.94,3.29,2.93,0.79,0.85,4.18,3.45,2.71,155.46,159.63,7114,12860,8852.16
291,0,11.96,11.97,16.9,16.94,9.13,2.98,3.24,0.92,4.04,3.63,0.72,0.72,5.65,5.02,0.06,3.69,1.64,9208,16621,11057.29
292,0,5.4,5.41,18.27,18.33,8.4,2.74,2.95,0.93,3.57,3.24,0.73,0.75,4.91,4.3,1.39,79.51,77.39,8339,15362,10257.11
293,0,97.11,97.16,16.96,16.97,6.89,2.37,2.45,0.97,2.93,2.62,0.78,0.8,3.76,3.26,0.07,3.81,178.9,7256,12603,8765.66
294,0,99.97,99.97,17.03,17.09,6.85,2.4,2.53,0.95,2.88,2.57,0.85,0.82,3.37,3.13,0.11,6.48,1.59,7106,12255,8619.47
295,0,7.87,7.86,17.48,17.49,9.29,3.16,3.38,0.94,4.04,3.58,0.82,0.78,4.91,4.6,0.26,14.93,13.32,8084,15277,10386.46
296,0,23.4,23.42,18.53,18.53,8.84,2.97,3.15,0.94,3.76,3.41,0.76,0.77,4.96,4.42,2.1,120.11,119.63,7145,12535,8716.28
297,0,112.19,112.22,19.18,19.23,11.76,3.94,4.28,0.92,5.15,4.71,0.64,0.76,8.04,6.19,1.11,63.76,64.16,7648,14381,9450.69
298,0,77.09,77.13,17.42,17.46,10.49,3.84,4.01,0.96,4.68,4.27,0.84,0.8,5.54,5.31,0.04,2.39,179.93,7579,15581,9847.21
299,0,86.0,86.01,19.05,19.09,11.31,4.25,4.53,0.94,5.09,4.65,0.74,0.83,6.86,5.6,2.25,128.77,132.08,6951,14279,8781.02
301,0,3.38,3.41,18.85,18.9,7.84,2.4,2.62,0.92,3.31,2.95,0.68,0.72,4.88,4.1,1.29,74.05,71.07,8574,15245,10635.13
302,0,12.74,12.79,17.68,17.74,9.66,3.33,3.44,0.97,4.31,4.0,0.72,0.75,6.0,5.31,3.05,174.81,179.26,8555,14650,10709.91
303,0,8.45,8.46,18.14,18.19,9.82,3.2,3.52,0.91,4.27,3.88,0.66,0.74,6.45,5.23,0.23,13.19,13.34,7216,15068,10484.26
304,0,34.19,34.26,18.85,18.92,8.77,3.11,3.38,0.92,3.82,3.41,0.69,0.83,5.53,4.08,0.73,41.55,41.97,7315,14204,9024.03
305,0,79.62,79.64,18.2,18.23,11.48,4.12,4.72,0.87,5.0,4.5,0.66,0.87,7.54,5.18,0.16,8.97,8.48,7242,14620,9237.51
306,0,109.98,110.02,19.18,19.19,7.78,2.61,2.81,0.93,3.32,2.98,0.78,0.78,4.26,3.83,1.63,93.37,94.53,7287,13884,9012.8
307,0,101.01,101.02,18.46,18.49,8.3,2.8,3.01,0.93,3.44,3.12,0.82,0.8,4.18,3.88,2.75,157.8,156.24,7413,13093,9024.26
308,0,123.31,123.34,20.73,20.76,13.39,4.91,5.4,0.91,5.8,5.32,0.66,0.84,8.76,6.3,1.84,105.59,106.99,6990,11772,8405.47
309,0,1.36,1.42,20.09,20.13,9.8,3.23,3.49,0.92,4.31,3.92,0.73,0.73,5.93,5.36,1.37,78.69,81.5,9038,14931,10873.02
310,0,32.05,32.06,20.09,20.14,10.72,3.73,4.06,0.92,4.54,4.13,0.79,0.81,5.77,5.08,1.13,64.54,66.94,7283,13419,8951.07
312,0,111.22,111.26,19.3,19.36,6.83,2.13,2.28,0.94,2.79,2.47,0.79,0.75,3.55,3.29,1.14,65.22,66.29,7700,13669,9410.47
313,0,12.16,12.16,18.46,18.52,8.13,2.61,2.78,0.94,3.58,3.18,0.78,0.73,4.58,4.37,3.12,178.96,179.37,8643,15759,10960.07
314,0,8.58,8.59,19.18,19.19,8.78,2.92,3.13,0.93,3.74,3.36,0.76,0.77,4.92,4.35,0.35,20.32,21.57,8178,15362,10588.05
315,0,74.56,74.58,18.79,18.83,11.73,4.44,4.81,0.92,5.21,4.77,0.72,0.85,7.28,5.62,3.09,177.14,0.73,7350,13966,8997.47
316,0,18.2,18.22,20.02,20.08,14.96,4.99,5.66,0.88,6.63,6.04,0.64,0.76,10.35,7.95,2.7,154.44,153.48,8300,16218,10597.1
317,0,18.59,18.61,19.44,19.43,8.73,2.73,2.94,0.93,3.75,3.36,0.76,0.72,4.95,4.69,2.65,152.1,151.38,8755,15143,10678.51
318,0,2.21,2.22,20.28,20.32,8.31,2.61,2.87,0.91,3.51,3.16,0.73,0.74,4.82,4.27,1.38,79.32,78.34,8911,15456,10901.34
319,0,115.44,115.48,20.21,20.26,7.8,2.78,2.94,0.94,3.26,3.0,0.85,0.83,3.85,3.62,1.49,85.43,93.68,7276,12754,8793.25
320,0,21.25,21.3,20.48,20.5,10.61,3.7,3.92,0.94,4.74,4.28,0.74,0.76,6.45,5.6,2.31,132.22,133.68,7897,15368,10093.18
321,0,12.8,12.83,19.24,19.29,8.69,2.82,3.03,0.93,3.85,3.46,0.65,0.74,5.89,4.71,0.08,4.84,3.15,9125,14869,11045.1
322,0,25.61,25.65,21.0,21.05,10.51,3.72,4.03,0.92,4.54,4.07,0.8,0.82,5.65,4.96,1.34,76.76,75.35,7302,13873,9229.7
323,0,117.39,117.43,20.67,20.71,9.06,3.24,3.49,0.93,3.89,3.49,0.85,0.82,4.55,4.26,1.74,99.62,97.3,7187,13431,8909.37
324,0,104.0,104.03,20.09,20.11,8.25,2.86,3.07,0.93,3.46,3.13,0.76,0.82,4.57,3.82,2.54,145.71,145.86,7152,12961,8767.01
325,0,8.97,9.01,19.89,19.92,9.22,3.0,3.23,0.93,3.97,3.57,0.7,0.75,5.67,4.77,0.37,21.1,20.71,8375,15469,10643.94
326,0,30.03,30.08,20.67,20.72,7.41,2.45,2.59,0.95,3.19,2.86,0.78,0.76,4.08,3.77,1.59,91.17,92.44,7426,12269,8921.41
327,0,14.62,14.67,19.89,19.95,8.34,2.7,2.87,0.94,3.62,3.29,0.79,0.72,4.58,4.57,0.16,9.29,5.05,8215,15515,10401.84
328,0,5.66,5.71,20.67,20.72,10.98,3.77,4.06,0.93,4.73,4.3,0.76,0.78,6.22,5.48,2.78,159.08,161.14,8064,15448,10148.16
329,0,10.99,10.99,20.21,20.27,8.39,2.57,2.8,0.92,3.63,3.29,0.73,0.7,5.0,4.71,0.18,10.3,7.71,8752,14852,10737.76
330,0,23.21,23.24,21.32,21.37,9.36,3.24,3.45,0.94,4.09,3.73,0.74,0.78,5.57,4.81,2.32,133.07,132.14,7983,15774,9785.52
331,0,26.98,27.03,21.64,21.67,9.8,3.44,3.76,0.91,4.13,3.77,0.79,0.83,5.26,4.54,1.15,65.85,67.92,7309,14008,9015.54
332,0,47.0,47.02,21.84,21.86,8.74,3.04,3.22,0.94,3.8,3.42,0.79,0.78,4.8,4.37,1.45,83.12,83.63,7150,11841,8540.41
333,0,89.83,89.85,22.16,22.18,11.71,4.45,4.77,0.93,5.11,4.64,0.85,0.86,6.02,5.39,2.12,121.46,122.54,7152,12684,8506.06
334,0,99.91,99.92,20.93,20.87,15.38,5.61,6.92,0.81,6.9,6.05,0.65,0.97,10.57,6.23,0.15,8.66,7.39,7170,13864,8884.17
335,0,15.79,15.81,20.73,20.78,8.67,3.0,3.24,0.92,3.78,3.33,0.78,0.81,4.84,4.1,0.05,2.96,0.15,8194,15608,10430.39
336,0,4.36,4.41,21.25,21.27,9.16,3.14,3.4,0.93,3.93,3.54,0.74,0.8,5.3,4.44,2.86,163.66,165.92,7895,15738,10352.95
337,0,75.27,75.3,22.82,22.85,11.33,4.19,4.65,0.9,4.89,4.39,0.74,0.88,6.6,4.96,1.91,109.4,109.25,7273,14196,9099.11
338,0,102.57,102.62,21.25,21.29,7.95,2.54,2.74,0.92,3.31,2.99,0.74,0.76,4.47,3.96,0.34,19.5,16.5,7220,12813,8971.99
339,0,12.35,12.36,21.0,21.02,6.85,2.15,2.29,0.94,2.95,2.64,0.66,0.73,4.45,3.64,0.13,7.59,3.7,8714,14745,10883.47
340,0,36.92,36.97,21.45,21.46,16.47,6.27,6.97,0.9,7.44,6.85,0.66,0.85,11.22,8.06,2.98,170.95,172.47,7102,12682,8489.33
341,0,9.36,9.4,21.19,21.2,6.85,2.21,2.36,0.94,2.93,2.6,0.78,0.75,3.75,3.47,0.04,2.54,178.93,8223,15135,10378.46
342,0,20.35,20.37,21.91,21.96,8.71,2.78,3.01,0.93,3.71,3.34,0.7,0.74,5.29,4.52,2.76,158.39,161.22,8279,15691,10627.47
343,0,119.21,119.27,22.88,22.91,8.34,2.89,3.11,0.93,3.56,3.25,0.79,0.8,4.5,4.06,1.41,80.54,84.57,7312,14808,9274.11
344,0,13.97,13.98,21.64,21.69,6.09,1.88,1.99,0.94,2.54,2.26,0.72,0.73,3.56,3.09,0.08,4.4,6.25,8314,14862,10463.55
345,0,18.53,18.53,22.1,22.15,9.0,3.07,3.28,0.94,3.86,3.42,0.84,0.79,4.57,4.31,2.8,160.35,159.07,7934,16506,10411.54
346,0,118.23,118.25,22.82,22.84,7.75,2.49,2.71,0.92,3.25,2.95,0.68,0.77,4.79,3.84,1.22,70.11,73.16,7520,14444,9298.37
347,0,16.96,16.99,22.43,22.49,8.83,3.02,3.25,0.93,3.79,3.42,0.76,0.79,5.0,4.35,2.6,149.04,145.45,8189,16204,10364.28
348,0,11.38,11.41,21.84,21.9,6.37,2.01,2.12,0.95,2.69,2.39,0.79,0.73,3.41,3.26,0.15,8.33,3.75,8462,14809,10588.93
349,0,74.1,74.11,23.14,23.17,9.48,3.26,3.5,0.93,4.06,3.66,0.76,0.8,5.35,4.6,2.13,121.91,121.61,7215,14258,9217.32
350,0,99.32,99.34,21.97,22.01,8.28,2.68,2.91,0.92,3.5,3.22,0.74,0.75,4.72,4.29,0.26,15.07,10.22,7351,12925,8885.91
