Feature,Median,Mean,Standard Deviation
Perimeter_PIX,140.81,149.99,40.08
Surface_area_PIX^2,733.0,783.53,239.66
Convex_hull_area_PIX^2,794.0,860.06,335.68
Solidity,0.93,0.92,0.03
Length_PIX,60.83,65.04,18.76
Ellipse_major_axis_PIX,54.88,58.88,18.54
Width_PIX,11.4,11.3,1.25
Ellipse_minor_axis_PIX,11.93,12.26,7.36
Aspect_ratio,5.32,5.87,2.02
Ellipse_aspect_ratio,4.62,4.86,1.24
Mean_intensity,10093.96,9933.3,809.61
