Feature,Median,Mean,Standard Deviation
Perimeter_PIX,120.77,124.93,24.39
Surface_area_PIX^2,677.0,701.18,162.54
Convex_hull_area_PIX^2,715.0,746.33,186.15
Solidity,0.95,0.94,0.02
Length_PIX,50.99,52.87,11.66
Ellipse_major_axis_PIX,44.55,46.4,10.47
Width_PIX,13.15,13.11,1.16
Ellipse_minor_axis_PIX,13.22,13.26,0.62
Aspect_ratio,3.83,4.12,1.24
Ellipse_aspect_ratio,3.4,3.49,0.72
Mean_intensity,5689.42,5698.68,120.56
