IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
664,0,1106,1106.31,1649,1649.26,120.47,638,698.0,0.91,50.61,44.0,11.18,13.04,4.53,3.37,2.09,119.6,117.32,1591,2500,1908.97
665,0,380,380.86,1644,1644.37,79.15,370,379.0,0.98,32.8,28.71,11.4,11.08,2.88,2.59,0.92,52.43,46.23,1668,2436,1921.95
666,0,753,753.75,1650,1650.8,126.02,671,723.0,0.93,53.25,47.15,11.66,12.63,4.57,3.73,0.6,34.29,33.65,1611,2315,1860.68
667,0,1943,1943.86,1659,1659.67,125.2,672,709.0,0.95,54.64,47.04,13.04,12.39,4.19,3.8,2.17,124.56,124.22,1631,2468,1924.79
668,0,294,294.42,1649,1649.86,104.77,538,573.0,0.94,43.68,38.15,12.37,12.28,3.53,3.11,2.86,164.05,167.65,1563,2238,1825.57
669,0,1016,1016.83,1654,1654.11,83.15,411,424.0,0.97,33.6,29.1,13.6,12.1,2.47,2.41,2.5,143.47,135.08,1597,2281,1847.14
670,0,709,709.56,1659,1659.95,102.71,531,556.0,0.96,43.42,37.73,12.81,12.13,3.39,3.11,0.9,51.55,51.85,1626,2290,1849.55
671,0,1872,1872.68,1662,1662.11,87.11,395,415.0,0.95,36.88,31.59,11.18,10.68,3.3,2.96,1.35,77.47,79.22,1590,2265,1894.32
672,0,1246,1246.97,1665,1665.69,102.18,518,544.0,0.95,43.01,37.48,12.65,11.92,3.4,3.15,1.88,107.59,104.88,1557,2257,1832.2
673,0,1074,1074.21,1680,1680.56,164.07,906,978.0,0.93,70.83,63.85,10.3,12.72,6.88,5.02,2.1,120.55,120.37,1603,2542,1914.43
674,0,355,355.31,1665,1665.17,80.08,388,402.0,0.97,32.76,27.95,13.04,11.88,2.51,2.35,0.55,31.26,34.22,1629,2362,1917.73
675,0,1855,1855.56,1672,1672.4,95.6,427,458.0,0.93,40.16,35.35,11.7,10.56,3.43,3.35,1.24,71.11,72.29,1636,2384,1956.33
676,0,1444,1444.13,1665,1665.11,105.7,552,576.0,0.96,45.28,39.88,12.17,11.99,3.72,3.33,3.03,173.66,175.63,1612,2267,1838.04
677,0,1826,1826.88,1690,1690.22,134.75,697,761.0,0.92,58.82,51.95,10.0,12.17,5.88,4.27,0.95,54.69,53.4,1583,2328,1880.51
678,0,335,335.68,1691,1691.04,108.87,585,613.0,0.95,46.27,40.82,13.15,12.63,3.52,3.23,1.68,96.2,92.21,1586,2402,1886.43
679,0,48,48.02,1679,1679.45,86.67,428,453.0,0.94,34.54,29.93,12.65,12.26,2.73,2.44,2.76,157.89,153.2,1614,2370,1849.84
680,0,1107,1107.1,1693,1693.92,118.18,636,681.0,0.93,49.24,43.72,12.17,12.65,4.05,3.46,1.8,102.91,101.46,1596,2510,1942.7
681,0,1147,1147.16,1690,1690.53,108.71,566,601.0,0.94,45.49,39.95,11.66,12.41,3.9,3.22,2.15,123.34,124.81,1587,2271,1834.6
682,0,295,295.76,1680,1680.88,102.77,539,570.0,0.95,42.2,37.1,13.34,12.69,3.16,2.92,0.24,13.71,12.13,1576,2344,1840.88
683,0,147,147.88,1687,1687.65,89.6,434,458.0,0.95,36.69,31.11,12.65,11.92,2.9,2.61,0.3,17.45,17.97,1604,2193,1809.62
684,0,1867,1867.67,1703,1703.31,86.63,375,392.0,0.96,37.34,32.68,10.2,9.9,3.66,3.3,1.44,82.3,86.62,1564,2237,1871.56
685,0,76,76.28,1698,1698.16,86.81,436,449.0,0.97,35.47,30.84,12.81,12.25,2.77,2.52,2.28,130.43,135.9,1590,2317,1851.2
686,0,426,426.46,1720,1719.48,227.46,1326,1573.0,0.84,101.26,88.03,10.82,15.27,9.36,5.77,0.61,34.95,35.3,1557,2324,1849.28
687,0,1029,1029.4,1713,1713.53,116.33,600,641.0,0.94,49.4,43.11,11.7,12.3,4.22,3.5,1.94,111.37,109.92,1598,2235,1839.75
688,0,356,356.89,1707,1707.51,105.88,540,568.0,0.95,45.0,39.64,12.21,11.92,3.69,3.33,0.64,36.87,36.78,1536,2406,1873.12
689,0,762,762.21,1700,1700.63,103.11,542,555.0,0.98,43.05,37.84,12.0,12.46,3.59,3.04,0.05,2.66,178.93,1543,2518,1873.68
690,0,560,560.73,1705,1705.37,147.11,801,853.0,0.94,66.12,58.28,11.0,12.17,6.01,4.79,3.08,176.53,177.31,1539,2300,1838.24
691,0,1375,1375.65,1718,1718.95,91.15,451,473.0,0.95,37.44,32.55,12.21,11.96,3.07,2.72,0.98,55.89,56.57,1558,2534,1910.05
692,0,772,772.04,1728,1728.78,138.99,749,819.0,0.91,61.4,53.82,11.4,12.75,5.39,4.22,2.49,142.94,140.86,1610,2556,1906.17
693,0,1386,1386.65,1737,1737.24,147.14,827,892.0,0.93,64.2,57.65,12.81,13.02,5.01,4.43,0.92,52.59,49.86,1616,2708,2002.28
694,0,27,27.1,1739,1739.67,125.01,678,726.0,0.93,53.15,47.04,13.15,12.71,4.04,3.7,1.78,101.94,101.16,1580,2296,1820.27
695,0,70,70.04,1737,1737.56,111.7,587,630.0,0.93,47.38,42.13,12.17,12.21,3.89,3.45,1.7,97.28,91.63,1539,2319,1842.71
696,0,1579,1579.71,1734,1734.88,114.47,593,628.0,0.94,48.55,42.06,11.66,12.19,4.16,3.45,2.14,122.38,121.33,1573,2224,1843.73
697,0,1511,1511.93,1743,1743.11,143.25,787,855.0,0.92,61.4,55.03,11.4,13.03,5.39,4.22,1.85,106.07,103.14,1577,2281,1856.84
698,0,1085,1085.31,1725,1725.6,82.18,392,417.0,0.94,32.39,27.83,13.15,12.09,2.46,2.3,2.99,171.12,164.86,1551,2447,1891.45
