IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
278,0,124.22,124.23,49.01,49.03,8.46,2.92,3.15,0.93,3.61,3.15,0.79,0.81,4.6,3.88,0.41,23.33,25.91,1607,2260,1853.05
279,0,64.87,64.89,48.95,48.94,7.65,2.64,2.82,0.94,3.21,2.84,0.82,0.82,3.91,3.46,2.77,158.63,160.02,1621,2391,1876.03
280,0,73.84,73.9,48.69,48.71,6.72,2.29,2.43,0.94,2.79,2.46,0.79,0.81,3.53,3.03,0.21,12.09,9.52,1573,2355,1873.38
281,0,100.81,100.84,49.47,49.5,5.14,1.58,1.66,0.95,2.07,1.78,0.79,0.76,2.61,2.34,1.35,77.28,77.24,1521,2214,1819.62
282,0,15.15,15.18,49.59,49.59,8.37,2.92,3.12,0.93,3.52,3.13,0.87,0.82,4.04,3.83,2.74,157.22,158.11,1581,2265,1865.8
283,0,76.31,76.37,49.66,49.69,5.34,1.63,1.72,0.95,2.13,1.84,0.79,0.76,2.71,2.41,1.98,113.43,110.63,1608,2277,1856.44
284,0,20.67,20.71,50.25,50.32,9.35,3.43,3.73,0.92,4.1,3.63,0.65,0.87,6.31,4.18,0.71,40.5,40.82,1623,2326,1908.21
285,0,50.05,50.05,50.51,50.56,6.63,2.1,2.22,0.95,2.78,2.42,0.76,0.75,3.66,3.22,1.0,57.43,59.18,1625,2247,1851.73
286,0,97.83,97.83,50.64,50.68,6.62,2.1,2.26,0.93,2.75,2.39,0.76,0.76,3.62,3.13,1.91,109.29,108.94,1585,2227,1819.96
287,0,10.34,10.38,50.18,50.21,5.95,1.88,1.98,0.95,2.47,2.09,0.87,0.77,2.83,2.73,2.68,153.43,152.03,1602,2277,1859.34
288,0,31.39,31.44,51.22,51.26,6.48,2.09,2.22,0.94,2.65,2.32,0.79,0.78,3.37,2.98,2.0,114.68,116.4,1557,2206,1844.61
289,0,93.21,93.27,51.29,51.3,6.2,1.97,2.07,0.95,2.55,2.22,0.74,0.76,3.44,2.91,2.23,127.75,124.79,1581,2172,1816.77
290,0,109.72,109.74,50.64,50.66,7.57,2.47,2.65,0.93,3.23,2.87,0.73,0.76,4.44,3.77,2.98,170.73,173.61,1596,2270,1826.16
291,0,67.08,67.11,50.83,50.86,6.48,2.14,2.25,0.95,2.68,2.37,0.8,0.78,3.33,3.02,0.24,14.04,10.03,1556,2334,1864.16
292,0,100.36,100.41,51.41,51.44,4.77,1.41,1.47,0.96,1.86,1.62,0.79,0.75,2.35,2.17,1.36,77.91,77.71,1646,2187,1838.44
293,0,12.35,12.41,51.48,51.54,5.86,1.91,2.0,0.95,2.4,2.09,0.83,0.78,2.88,2.68,2.43,139.4,137.93,1627,2275,1894.14
294,0,62.01,62.04,51.41,51.46,8.7,3.08,3.34,0.92,3.72,3.31,0.79,0.83,4.71,3.97,2.93,167.91,169.16,1643,2473,1901.65
295,0,51.35,51.39,52.26,52.3,7.05,2.26,2.42,0.94,3.0,2.6,0.74,0.76,4.05,3.42,1.26,72.35,74.95,1640,2225,1873.19
296,0,26.13,26.16,51.94,51.94,7.1,2.31,2.48,0.93,3.01,2.65,0.76,0.77,3.97,3.42,0.57,32.66,34.45,1641,2328,1864.05
