Feature,Median,Mean,Standard Deviation
Perimeter_MICRON,10.06,10.39,2.37
Surface_area_MICRON^2,3.29,3.42,0.88
Convex_hull_area_MICRON^2,3.58,3.76,1.06
Solidity,0.92,0.92,0.03
Length_MICRON,4.41,4.56,1.12
Ellipse_major_axis_MICRON,3.99,4.12,1.05
Width_MICRON,0.7,0.7,0.06
Ellipse_minor_axis_MICRON,0.75,0.75,0.14
Aspect_ratio,6.28,6.65,2.03
Ellipse_aspect_ratio,5.34,5.47,1.26
Mean_intensity,5657.18,5679.9,234.44
