Feature,Median,Mean,Standard Deviation
Perimeter_MICRON,7.12,7.29,1.47
Surface_area_MICRON^2,2.36,2.41,0.6
Convex_hull_area_MICRON^2,2.5,2.58,0.69
Solidity,0.94,0.94,0.02
Length_MICRON,3.01,3.08,0.69
Ellipse_major_axis_MICRON,2.64,2.7,0.62
Width_MICRON,0.78,0.76,0.08
Ellipse_minor_axis_MICRON,0.79,0.78,0.05
Aspect_ratio,3.87,4.12,1.28
Ellipse_aspect_ratio,3.4,3.45,0.71
Mean_intensity,1870.65,1879.37,47.62
