Feature,Median,Mean,Standard Deviation
Perimeter_MICRON,7.06,7.57,2.56
Surface_area_MICRON^2,2.14,2.33,0.94
Convex_hull_area_MICRON^2,2.31,2.58,1.52
Solidity,0.93,0.92,0.04
Length_MICRON,2.98,3.22,1.19
Ellipse_major_axis_MICRON,2.66,2.88,1.33
Width_MICRON,0.68,0.69,0.06
Ellipse_minor_axis_MICRON,0.71,0.74,0.55
Aspect_ratio,4.3,4.77,1.91
Ellipse_aspect_ratio,3.73,3.92,1.06
Mean_intensity,6185.84,6156.61,183.5
