Feature,Median,Mean,Standard Deviation
Perimeter_PIX,108.61,116.47,39.4
Surface_area_PIX^2,507.0,551.0,222.08
Convex_hull_area_PIX^2,546.0,610.52,359.33
Solidity,0.93,0.92,0.04
Length_PIX,45.89,49.51,18.3
Ellipse_major_axis_PIX,40.95,44.38,20.41
Width_PIX,10.44,10.55,0.99
Ellipse_minor_axis_PIX,10.99,11.33,8.43
Aspect_ratio,4.3,4.77,1.91
Ellipse_aspect_ratio,3.73,3.92,1.06
Mean_intensity,6185.84,6156.61,183.5
