Feature,Median,Mean,Standard Deviation
Perimeter_PIX,154.77,159.87,36.45
Surface_area_PIX^2,779.0,810.12,208.35
Convex_hull_area_PIX^2,848.0,889.67,251.12
Solidity,0.92,0.92,0.03
Length_PIX,67.91,70.16,17.18
Ellipse_major_axis_PIX,61.4,63.46,16.21
Width_PIX,10.82,10.73,0.96
Ellipse_minor_axis_PIX,11.51,11.58,2.21
Aspect_ratio,6.28,6.65,2.03
Ellipse_aspect_ratio,5.34,5.47,1.26
Mean_intensity,5657.18,5679.9,234.44
