Feature,Median,Mean,Standard Deviation
Perimeter_MICRON,7.85,8.12,1.59
Surface_area_MICRON^2,2.86,2.96,0.69
Convex_hull_area_MICRON^2,3.02,3.15,0.79
Solidity,0.95,0.94,0.02
Length_MICRON,3.31,3.44,0.76
Ellipse_major_axis_MICRON,2.9,3.02,0.68
Width_MICRON,0.85,0.85,0.08
Ellipse_minor_axis_MICRON,0.86,0.86,0.04
Aspect_ratio,3.83,4.12,1.24
Ellipse_aspect_ratio,3.4,3.49,0.72
Mean_intensity,5689.42,5698.68,120.56
