IDENTIFIER,TRACK_ID,TRACK_FRAME_LENGTH,TOTAL_DISPLACEMENT_PIX,TOTAL_DISPLACEMENT_MIC,END_TO_END_DISTANCE_PIX,END_TO_END_DISTANCE_MIC,PERSISTENCE,SINUOSITY,MAX_DISTANCE_PIX,MAX_DISTANCE_MIC,MEAN_DIRECTIONAL_CHANGE_RAD,MEAN_DIRECTIONAL_CHANGE_DEG,SPEED_PIX_FR,SPEED_MIC_SEC,AVERAGE_ANGULAR_VELOCITY_RAD_FR,AVERAGE_ANGULAR_VELOCITY_DEG_SEC
240917_459+2324_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h30_2_SC10pc_spots.csv,0,60,7.239360491509686,0.4705584319481296,2.5204917864915704,0.16383196612195208,0.3481649780319132,2.8722015799887224,2.686191947751301,0.17460247660383457,0.9191178743084213,52.66157507290822,0.1227010252798252,0.0015951133286377275,0.014640048012410365,0.16776259259600068
240917_459+2324_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h30_2_SC10pc_spots.csv,1,60,15.157924277483058,0.9852650780363988,6.5596620498435305,0.4263780332398295,0.43275463907600076,2.3107782325226074,8.221405353152385,0.5343913479549051,1.2120680214520578,69.44638211197504,0.2569139708047976,0.0033398816204623693,0.04300161933845709,0.49276226006434687
240917_459+2324_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h30_2_SC10pc_spots.csv,2,60,2.326257584280543,0.1512067429782353,1.2452669525803106,0.08094235191772019,0.5353091424591496,1.868079434261319,1.3196366430051514,0.08577638179533484,1.4197292679732354,81.34449510606426,0.03942809464882276,0.0005125652304346959,0.014300136385806928,0.16386749227363992
240917_459+2324_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h30_2_SC10pc_spots.csv,3,60,13.906782193316676,0.9039408425655839,3.0701576553136123,0.1995602475953848,0.220766933186677,4.529663865713149,3.504383141391822,0.22778490419046843,1.3207511733430877,75.67346801951032,0.23570817276807926,0.0030642062459850304,-0.0020031192976032466,-0.02295405632277519
240917_459+2324_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h30_2_SC10pc_spots.csv,4,60,9.217475551465242,0.5991359108452408,1.940410871568236,0.12612670665193534,0.21051434969738342,4.750270000299317,3.005779893633814,0.19537569308619793,1.28609682164403,73.68791992539231,0.15622839917737694,0.0020309691893059005,0.030866594976837195,0.35370512402249565
240917_459+2324_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h30_2_SC10pc_spots.csv,5,60,1.5180270056376752,0.0986717553664489,0.5065210451847937,0.03292386793701159,0.33367064176306943,2.996967293005278,0.6750401948677094,0.04387761266640111,1.6180237602732541,92.70593261554474,0.025729271281994495,0.0003344805266659285,0.03073402706699145,0.35218600767588926
240917_459+2324_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h30_2_SC10pc_spots.csv,6,32,9.602874529393075,0.62418684441055,2.14277703669345,0.13928050738507428,0.22313912674113415,4.4815089787462945,2.6108017412482942,0.16970211318113912,0.857696141020156,49.14236898511242,0.3097701461094541,0.004027011899422903,-0.08666503715328033,-0.9931081720454875
240917_459+2324_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h30_2_SC10pc_spots.csv,7,60,4.7141776418170345,0.30642154671810723,2.3813648905953158,0.15478871788869553,0.5051495873790284,1.9796116338301015,2.8874074087870945,0.18768148157116116,1.2904463354334093,73.93712870845769,0.07990131596300058,0.0010387171075190076,-0.04386331938334764,-0.5026366152200393
240917_459+2324_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h30_2_SC10pc_spots.csv,8,60,12.920314642142484,0.8398204517392616,3.273191615724588,0.21275745502209822,0.2533368347740034,3.947313863347505,5.984377509718125,0.3889845381316781,0.8345326100487642,47.815196421831104,0.21898838376512686,0.0028468489889466493,0.0028723849954832062,0.03291510747557835
240917_459+2324_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h30_2_SC10pc_spots.csv,9,60,25.416287202953555,1.652058668191981,4.823557853207349,0.31353126045847773,0.18978215876655727,5.26919920449454,6.371968448748176,0.4141779491686315,0.9749446051662138,55.86021113507249,0.43078452886361956,0.005600198875227055,-0.01727642537016163,-0.19797325175660047
