IDENTIFIER,TRACK_ID,TRACK_FRAME_LENGTH,TOTAL_DISPLACEMENT_PIX,TOTAL_DISPLACEMENT_MIC,END_TO_END_DISTANCE_PIX,END_TO_END_DISTANCE_MIC,PERSISTENCE,SINUOSITY,MAX_DISTANCE_PIX,MAX_DISTANCE_MIC,MEAN_DIRECTIONAL_CHANGE_RAD,MEAN_DIRECTIONAL_CHANGE_DEG,SPEED_PIX_FR,SPEED_MIC_SEC,AVERAGE_ANGULAR_VELOCITY_RAD_FR,AVERAGE_ANGULAR_VELOCITY_DEG_SEC
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,0,18,11.291076652600093,0.7339199824190061,1.559569901509955,0.10137204359814707,0.13812410893081833,7.239865710198832,5.245351832439573,0.3409478691085722,1.0262909768300967,58.802141524723105,0.6641809795647113,0.008634352734341249,0.1960122938425675,2.24613543397145
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,1,60,41.995750022541024,2.729723751465167,4.0244193570476705,0.2615872582080986,0.09582920545263704,10.43523209105854,7.058774194322583,0.4588203226309679,0.9631787112984163,55.18607507424883,0.711792373263407,0.009253300852424293,0.0032954684784040084,0.037763287066189796
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,2,60,25.510681565019784,1.658194301726286,12.921049367540903,0.8398682088901587,0.5064956549517764,1.9743505995035837,14.146274362116856,0.9195078335375957,0.808537027097423,46.32575923273702,0.4323844333054201,0.005620997632970462,0.015330028588030951,0.17566918758181402
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,3,60,24.010077962015462,1.5606550675310051,5.235328688385504,0.34029636474505776,0.21804713406878246,4.586164382626338,6.6494090513423645,0.4322115883372537,1.1347185669946183,65.01458482392438,0.4069504739324655,0.005290356161122051,0.0015742368712530676,0.018039425735336064
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,4,60,35.71914119529265,2.3217441776940224,8.272398833343543,0.5377059241673303,0.23159568109755518,4.317869811996923,10.02607330243134,0.6516947646580372,1.0359674933000074,59.35656507883781,0.6054091728015703,0.007870319246420414,-0.031880976326474124,-0.36532907805269177
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,5,60,41.109579822898404,2.6721226884883964,31.967683424174687,2.0778994225713547,0.7776212639947344,1.2859730646547385,31.967683424174687,2.0778994225713547,0.639259096623873,36.62684825189362,0.6967725393711595,0.009058043011825074,-0.016277970246773698,-0.18653179883593202
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,6,60,51.59252870203721,3.3535143656324187,24.0383934894024,1.562495576811156,0.46592780183796667,2.1462552697118618,25.240687856851697,1.6406447106953603,1.0492495618419804,60.11757154949634,0.8744496390175797,0.011367845307228536,-0.00032322437169132306,-0.0037038784667361227
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,8,60,39.35408185692076,2.5580153206998495,4.68338034658277,0.3044197225278801,0.11900621550796406,8.402922450156217,6.003401563641229,0.3902211016366799,1.0329910124399957,59.18602528775767,0.6670183365579789,0.008671238375253725,-0.003007579656497267,-0.034464324173339854
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,9,60,6.943385386806124,0.45132005014239807,5.82777427362298,0.3788053277854937,0.8393274964539579,1.1914300487293235,5.82777427362298,0.3788053277854937,0.7450834148000446,42.69013505323781,0.11768449808145973,0.0015298984750589766,-0.0015583908174475766,-0.017857843334337695
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,10,60,54.83561488026288,3.5643149672170873,46.53830597611227,3.0249898884472977,0.8486875925022757,1.178289878200757,46.53830597611227,3.0249898884472977,0.4721699131681547,27.05334323759382,0.9294172013603875,0.012082423617685039,-0.01933469561226979,-0.22155929135063404
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,11,60,38.33537121130688,2.491799128734947,0.7716684110896068,0.050158446720824444,0.02012941016890443,49.678554493602746,6.487651401037333,0.4216973410674266,1.446546066105064,82.88098445907235,0.6497520544289302,0.008446776707576095,-0.002133813318369334,-0.02445169948227358
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,12,60,39.264439830917325,2.552188589009626,12.077106306259513,0.7850119099068683,0.30758381778185573,3.251146328865776,15.172060278069809,0.9861839180745376,0.9998420928503352,57.28673209985159,0.6654989801850394,0.008651486742405512,0.05405288635027373,0.6194004516741961
241004_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_1h_1004_SC10pc_corrected_spots.csv,13,60,29.62038490376738,1.9253250187448798,18.225652811623213,1.184667432755509,0.6153077642588336,1.625202960350331,18.57212397353684,1.2071880582798946,0.8351283206484013,47.84932812500151,0.5020404220977522,0.006526525487270779,0.010403431770580812,0.11921454658131878
