Feature,Median,Mean,Standard Deviation
Perimeter_MICRON,5.68,5.98,1.28
Surface_area_MICRON^2,1.74,1.84,0.5
Convex_hull_area_MICRON^2,1.84,1.97,0.58
Solidity,0.94,0.94,0.02
Length_MICRON,2.31,2.45,0.6
Ellipse_major_axis_MICRON,2.01,2.14,0.54
Width_MICRON,0.74,0.74,0.08
Ellipse_minor_axis_MICRON,0.75,0.75,0.05
Aspect_ratio,3.05,3.4,1.18
Ellipse_aspect_ratio,2.69,2.83,0.64
Mean_intensity,1252.82,1249.31,37.98
