IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
591,0,1932,1932.27,1352,1352.63,94.67,484,508.0,0.95,38.63,33.28,12.65,12.56,3.05,2.65,1.94,111.25,112.53,4844,7167,5548.69
592,0,123,123.15,1356,1356.24,100.53,535,559.0,0.96,41.05,35.51,14.0,13.0,2.93,2.73,1.62,92.79,89.45,4796,6633,5456.87
593,0,1432,1432.31,1362,1362.85,125.78,705,746.0,0.95,52.7,46.65,13.04,13.21,4.04,3.53,2.15,123.39,122.45,4879,7071,5550.71
594,0,30,30.65,1362,1362.93,115.05,622,658.0,0.95,47.85,41.74,13.42,12.93,3.57,3.23,2.03,116.03,117.08,4857,6833,5456.18
595,0,196,196.29,1356,1356.73,110.08,590,628.0,0.94,45.88,39.77,12.65,12.98,3.63,3.06,0.36,20.41,18.54,4804,6435,5407.59
596,0,1974,1974.78,1367,1367.4,109.11,596,637.0,0.94,45.12,40.43,12.37,13.05,3.65,3.1,1.79,102.8,97.28,4862,6742,5448.11
597,0,864,864.6,1369,1369.4,97.46,530,557.0,0.95,39.62,34.85,13.15,13.12,3.01,2.66,1.75,100.18,93.97,4862,7285,5531.62
598,0,896,896.66,1374,1374.26,110.28,607,642.0,0.95,46.27,40.57,13.15,12.98,3.52,3.13,1.68,96.2,92.35,4884,6923,5560.34
599,0,1600,1600.89,1369,1369.2,119.44,672,702.0,0.96,51.22,45.11,11.4,13.03,4.49,3.46,2.47,141.34,139.59,4991,7700,5726.02
600,0,1091,1091.59,1368,1368.53,90.67,456,477.0,0.96,36.67,31.31,13.0,12.53,2.82,2.5,1.12,64.13,65.39,4855,7493,5572.27
601,0,1458,1458.36,1379,1379.21,142.37,798,875.0,0.91,60.42,53.42,10.77,13.62,5.61,3.92,1.14,65.56,65.21,4917,7111,5561.14
602,0,1342,1342.35,1375,1375.61,126.75,737,769.0,0.96,55.17,48.53,12.73,13.34,4.33,3.64,2.33,133.53,134.15,4818,6893,5512.61
603,0,1065,1065.34,1380,1380.97,122.33,670,721.0,0.93,50.92,44.63,13.6,13.33,3.74,3.35,1.23,70.5,71.04,4809,7430,5573.55
604,0,1870,1870.79,1373,1373.29,125.74,707,747.0,0.95,52.81,46.54,13.6,13.24,3.88,3.52,2.81,161.22,162.7,4809,6729,5478.86
605,0,963,964.0,1372,1372.56,100.04,542,568.0,0.95,40.79,36.47,13.15,12.95,3.1,2.82,2.94,168.69,175.24,4731,6952,5443.73
606,0,1265,1265.33,1390,1390.29,132.47,787,841.0,0.94,55.04,48.61,13.0,14.4,4.23,3.38,2.0,114.7,114.65,4831,6869,5474.67
607,0,998,998.85,1383,1383.69,98.23,525,544.0,0.97,41.05,35.53,13.04,12.78,3.15,2.78,2.17,124.08,127.64,4822,7018,5486.39
608,0,828,828.61,1389,1389.22,93.36,503,528.0,0.95,37.36,32.14,15.52,13.41,2.41,2.4,1.84,105.52,100.1,4830,6935,5493.76
609,0,1594,1594.02,1389,1389.1,97.74,512,536.0,0.96,40.71,34.79,13.42,12.66,3.03,2.75,2.06,117.82,118.87,4897,7750,5721.48
610,0,799,799.07,1391,1391.83,116.61,644,682.0,0.94,49.2,43.08,12.81,13.06,3.84,3.3,0.66,37.57,38.7,4684,6856,5492.62
611,0,936,936.86,1394,1394.58,108.57,586,620.0,0.95,44.29,38.85,13.42,13.22,3.3,2.94,2.06,118.3,115.62,4885,6967,5574.99
612,0,1619,1619.2,1408,1408.93,118.23,629,680.0,0.92,48.76,42.56,12.53,13.01,3.89,3.27,2.06,118.14,114.36,4969,7603,5709.42
613,0,1664,1664.24,1404,1404.53,101.3,524,556.0,0.94,42.64,37.25,11.4,12.3,3.74,3.03,2.26,129.29,129.39,4715,7178,5567.52
614,0,326,326.78,1405,1405.92,96.81,519,540.0,0.96,40.61,34.8,12.81,12.84,3.17,2.71,2.23,128.0,128.67,4869,6445,5391.91
615,0,868,868.5,1408,1408.39,95.46,519,533.0,0.97,39.46,34.39,14.14,13.09,2.79,2.63,1.42,81.25,88.6,4748,6740,5458.44
616,0,759,759.76,1406,1406.09,118.95,670,704.0,0.95,49.93,44.14,13.04,13.26,3.83,3.33,0.57,32.74,33.36,4873,7169,5459.53
617,0,1358,1358.56,1413,1413.13,130.75,768,813.0,0.94,56.85,49.58,14.21,13.6,4.0,3.64,2.26,129.29,131.79,4837,7013,5546.42
618,0,899,899.62,1416,1416.51,114.08,615,657.0,0.94,46.49,41.05,13.6,13.11,3.42,3.13,1.24,71.18,71.18,4780,6955,5534.14
619,0,979,979.47,1407,1407.97,116.81,655,697.0,0.94,47.93,41.87,14.32,13.71,3.35,3.05,0.41,23.36,24.92,4811,7055,5555.45
620,0,1650,1650.75,1413,1413.36,113.44,612,642.0,0.95,48.41,42.6,11.4,12.49,4.25,3.41,2.47,141.71,139.37,4911,7296,5726.23
621,0,1030,1030.02,1426,1426.23,147.44,840,915.0,0.92,63.07,55.53,12.08,13.61,5.22,4.08,2.01,115.35,116.76,4742,6707,5411.39
622,0,1426,1426.49,1426,1426.04,136.02,791,842.0,0.94,57.45,51.08,11.66,13.68,4.93,3.74,1.02,58.52,58.81,4813,6811,5452.82
623,0,1606,1606.59,1425,1425.95,93.11,475,504.0,0.94,38.33,33.19,13.15,12.34,2.91,2.69,1.7,97.5,95.75,4851,7315,5630.22
624,0,838,838.58,1424,1424.68,94.08,491,517.0,0.95,37.59,32.66,13.42,13.06,2.8,2.5,2.07,118.61,116.06,4728,7045,5522.03
625,0,1752,1752.78,1434,1434.53,131.2,736,779.0,0.94,55.07,48.94,13.89,13.19,3.96,3.71,2.08,119.36,119.61,4812,6755,5454.43
626,0,1542,1542.14,1435,1434.97,115.4,605,656.0,0.92,47.17,41.75,11.7,12.92,4.03,3.23,1.94,111.12,111.92,4777,6884,5437.04
627,0,991,991.57,1446,1446.58,153.25,899,970.0,0.93,67.6,58.74,12.17,13.69,5.56,4.29,1.7,97.65,96.2,4902,7371,5673.45
628,0,936,937.04,1425,1425.49,109.01,605,635.0,0.95,44.92,39.33,14.56,13.29,3.09,2.96,0.29,16.82,15.55,4928,7140,5594.07
629,0,1280,1280.39,1430,1430.39,93.05,496,512.0,0.97,38.29,32.93,12.81,12.88,2.99,2.56,2.43,139.24,136.18,4760,6659,5410.34
630,0,349,349.87,1439,1439.97,103.4,548,574.0,0.95,42.49,37.11,14.32,12.73,2.97,2.92,2.03,116.57,119.12,4823,6522,5399.06
631,0,773,773.45,1434,1434.39,108.91,598,628.0,0.95,44.78,39.21,13.0,13.33,3.44,2.94,2.73,156.3,156.79,4828,6833,5425.7
632,0,1684,1684.89,1442,1441.95,103.3,558,588.0,0.95,42.2,37.18,13.6,13.04,3.1,2.85,2.2,126.33,127.31,4812,7004,5546.4
633,0,1661,1661.57,1454,1454.28,111.6,599,635.0,0.94,46.57,40.75,12.65,12.72,3.68,3.2,1.83,104.93,103.98,4813,7391,5522.81
634,0,817,817.3,1441,1441.95,107.94,607,638.0,0.95,45.18,39.28,14.14,13.63,3.19,2.88,3.05,174.92,178.28,4859,7046,5468.5
635,0,1371,1371.26,1458,1458.71,122.33,691,728.0,0.95,51.55,45.01,13.6,13.32,3.79,3.38,1.89,108.08,107.85,4908,7075,5552.76
636,0,916,916.11,1446,1446.24,95.84,486,515.0,0.94,38.08,33.32,13.42,12.65,2.84,2.63,2.62,150.07,157.58,4892,7048,5585.4
637,0,182,183.08,1466,1466.33,142.71,772,852.0,0.91,60.84,53.45,8.94,13.26,6.8,4.03,1.13,64.7,65.29,4805,7294,5629.28
638,0,202,202.07,1463,1463.86,121.78,669,714.0,0.94,52.15,45.03,11.66,12.92,4.47,3.49,1.0,57.53,55.35,4897,7266,5619.57
639,0,976,976.91,1465,1465.09,98.67,489,523.0,0.93,39.82,34.32,12.53,12.35,3.18,2.78,2.07,118.5,112.15,4981,7507,5792.34
640,0,950,950.25,1458,1458.41,92.18,463,490.0,0.94,36.4,32.13,12.65,12.49,2.88,2.57,2.78,159.08,161.94,4801,7462,5640.12
641,0,1536,1536.18,1476,1476.56,105.7,548,572.0,0.96,45.12,39.71,12.17,11.94,3.71,3.33,1.79,102.8,97.87,5006,7518,5735.04
642,0,616,616.42,1481,1481.99,123.6,666,708.0,0.94,53.6,46.72,13.15,12.44,4.08,3.75,1.72,98.58,98.89,4788,6615,5403.42
643,0,937,937.28,1469,1469.87,94.57,477,501.0,0.95,39.36,33.77,13.42,12.21,2.93,2.77,2.67,152.78,149.34,4913,7366,5658.08
644,0,1551,1551.35,1480,1480.38,109.94,574,606.0,0.95,46.32,41.18,12.17,12.21,3.81,3.37,1.81,103.74,99.96,4848,7289,5645.7
645,0,1771,1771.7,1482,1482.69,130.61,736,794.0,0.93,54.71,47.93,12.53,13.79,4.37,3.48,2.11,120.78,120.88,4934,7159,5598.91
646,0,126,126.37,1505,1505.21,187.6,1123,1221.0,0.92,82.3,74.49,12.04,13.69,6.83,5.44,1.66,94.88,91.39,4876,7422,5623.09
647,0,968,968.66,1485,1485.38,94.81,488,507.0,0.96,40.0,34.45,13.6,12.19,2.94,2.83,2.21,126.87,127.42,4875,7590,5757.78
648,0,144,144.38,1499,1499.37,128.67,703,750.0,0.94,55.08,48.42,12.65,12.76,4.35,3.79,1.85,105.8,102.64,4868,7770,5659.18
649,0,86,86.3,1496,1496.86,82.91,418,439.0,0.95,32.76,28.36,13.04,12.82,2.51,2.21,1.03,58.74,54.3,4887,7136,5589.17
650,0,1388,1388.12,1498,1498.13,124.12,684,725.0,0.94,52.77,46.21,12.53,12.97,4.21,3.56,2.67,152.95,150.98,4771,6937,5475.58
651,0,1000,1000.96,1493,1493.3,100.18,525,555.0,0.95,40.26,35.22,13.6,12.86,2.96,2.74,2.89,165.62,164.27,4903,7442,5664.98
652,0,1332,1332.91,1498,1498.37,89.74,457,481.0,0.95,35.51,30.89,14.42,12.76,2.46,2.42,2.58,147.65,148.71,4751,6656,5351.39
653,0,204,204.49,1507,1507.26,119.2,668,706.0,0.95,50.0,43.8,12.21,13.29,4.1,3.3,2.21,126.87,127.08,4862,7302,5604.46
654,0,1026,1026.02,1503,1504.01,91.5,465,489.0,0.95,36.4,31.93,12.65,12.66,2.88,2.52,1.21,69.08,65.35,4779,6950,5482.12
655,0,101,101.0,1508,1508.88,98.28,530,555.0,0.95,40.26,35.16,13.6,12.98,2.96,2.71,1.32,75.62,82.08,4875,7212,5652.42
656,0,1835,1835.33,1512,1512.31,92.87,460,488.0,0.94,38.33,33.47,12.17,11.84,3.15,2.83,1.7,97.5,94.7,4824,7292,5612.54
657,0,177,177.3,1511,1511.6,131.64,722,772.0,0.94,55.54,48.87,13.0,13.05,4.27,3.75,2.73,156.67,157.41,4929,7270,5616.94
658,0,1821,1821.34,1518,1518.87,104.28,569,592.0,0.96,44.18,38.52,13.15,12.76,3.36,3.02,1.66,95.19,90.61,5006,7724,5799.81
659,0,1542,1542.33,1514,1514.14,104.12,554,580.0,0.96,44.05,38.54,12.81,12.45,3.44,3.1,2.45,140.53,139.25,4817,7396,5632.5
660,0,1520,1520.65,1513,1513.27,90.81,461,480.0,0.96,37.01,32.3,12.81,12.31,2.89,2.62,2.47,141.58,138.18,4986,7497,5749.74
662,0,1364,1364.76,1511,1511.34,91.36,469,493.0,0.95,36.67,31.81,14.14,12.66,2.59,2.51,2.95,169.0,167.95,4812,7106,5510.02
663,0,1756,1756.76,1515,1516.02,104.81,558,586.0,0.95,43.42,37.38,13.89,12.97,3.13,2.88,0.5,28.93,31.24,4872,7178,5697.07
664,0,1790,1790.71,1513,1513.63,104.08,546,584.0,0.93,42.38,36.72,13.6,12.85,3.12,2.86,0.34,19.29,20.51,5080,7558,5797.57
