radius,average_local_order_parameter,average_n_close_cells
0.65,,0.0
0.8595444826312565,0.9990346218450994,0.0
1.1366411040335909,0.8444059891803954,0.09884332281808622
1.5030670610830352,0.7840849065356993,0.40799158780231337
1.987619999044155,0.658849098952286,0.9695057833859095
2.628381236532224,0.6006753084307731,2.331230283911672
3.4757086001735273,0.5335296142678863,4.256572029442692
4.596194077712559,0.49043564591041866,7.413249211356467
6.07789732400044,0.4607099041297375,12.887486855941114
8.037266324375164,0.44581850360697023,21.96004206098843
10.628289114699482,0.427297146632211,37.68664563617245
14.054595797461216,0.41572119329762686,63.89905362776025
18.585461958954184,0.40935878836509715,107.18717139852787
24.57697120611104,0.4046341373510017,180.43112513144058
32.5,0.40188979893047455,296.55310199789693
