radius,average_local_order_parameter,average_n_close_cells
0.65,,0.0
0.8595444826312565,0.9997505063710292,0.0
1.1366411040335909,0.9955182968964517,0.059336823734729496
1.5030670610830352,0.9490784099269295,0.18150087260034903
1.987619999044155,0.8907273935783967,0.3944153577661431
2.628381236532224,0.8083087249645353,0.8027923211169284
3.4757086001735273,0.7186873317085277,1.5148342059336823
4.596194077712559,0.6589617512708085,2.7783595113438047
6.07789732400044,0.573323934142282,4.666666666666667
8.037266324375164,0.5265687548952177,7.56719022687609
10.628289114699482,0.4901732031624569,12.635253054101222
14.054595797461216,0.455976429725599,20.75741710296684
18.585461958954184,0.4284892488598928,33.75916230366492
24.57697120611104,0.40416944070015987,55.87783595113438
32.5,0.3909875452514502,91.43455497382199
