Feature,Median,Mean,Standard Deviation
Perimeter_MICRON,7.37,7.84,2.29
Surface_area_MICRON^2,2.16,2.32,0.81
Convex_hull_area_MICRON^2,2.34,2.57,1.07
Solidity,0.92,0.91,0.04
Length_MICRON,3.16,3.37,1.07
Ellipse_major_axis_MICRON,2.82,3.04,10.28
Width_MICRON,0.65,0.64,0.08
Ellipse_minor_axis_MICRON,0.69,0.7,0.53
Aspect_ratio,4.87,inf,
Ellipse_aspect_ratio,4.14,4.33,1.16
Mean_intensity,2706.06,2696.84,98.88
