IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
376,0,1273,1273.71,261,261.05,90.23,433,456.0,0.95,37.64,33.22,11.4,11.32,3.3,2.93,0.69,39.61,42.15,6203,9530,7249.99
377,0,1305,1305.87,267,267.23,139.82,714,762.0,0.94,61.4,55.29,11.4,11.41,5.39,4.85,0.65,37.06,38.05,6083,9420,7267.46
378,0,1080,1080.73,256,256.39,118.53,621,661.0,0.94,50.64,44.58,12.17,12.2,4.16,3.65,2.98,170.91,172.18,5849,9690,7062.89
379,0,1456,1456.72,267,267.56,96.43,469,500.0,0.94,39.29,34.26,11.4,11.89,3.45,2.88,1.83,104.74,108.07,5690,9467,6891.25
380,0,981,981.88,259,259.44,82.53,381,405.0,0.94,32.7,28.68,12.08,11.5,2.71,2.49,2.73,156.57,161.89,5972,9264,7133.02
381,0,1133,1133.8,266,266.48,85.01,382,408.0,0.94,34.18,29.65,10.77,11.32,3.17,2.62,1.21,69.44,68.7,5965,8860,6957.46
382,0,1349,1349.94,261,261.52,73.5,313,330.0,0.95,30.02,26.24,10.3,10.43,2.92,2.51,0.52,29.98,37.19,6246,9703,7365.16
383,0,567,567.12,267,267.81,81.36,398,418.0,0.95,32.25,27.63,13.15,12.4,2.45,2.23,1.45,82.87,77.01,5532,8127,6330.26
384,0,1418,1419.01,266,265.82,136.81,697,769.0,0.91,58.19,51.55,10.77,12.27,5.4,4.2,2.81,160.94,159.99,5921,9741,7193.83
385,0,875,875.52,269,269.66,101.05,499,539.0,0.93,41.73,36.57,12.73,12.04,3.28,3.04,0.8,45.97,47.1,5830,9106,6792.87
386,0,923,923.9,263,263.41,93.84,471,497.0,0.95,37.7,33.01,12.65,12.37,2.98,2.67,2.76,158.2,157.82,5646,9170,6759.68
387,0,800,800.98,275,275.37,106.77,545,581.0,0.94,44.38,39.48,12.37,12.08,3.59,3.27,1.82,104.35,102.05,5561,8177,6379.4
388,0,1976,1976.64,274,274.5,129.1,686,745.0,0.92,55.22,48.94,10.82,12.55,5.1,3.9,0.62,35.42,37.78,5716,8715,6563.61
389,0,1162,1162.51,272,272.31,94.81,468,493.0,0.95,39.41,34.43,11.4,11.76,3.46,2.93,0.95,54.29,53.52,5660,8977,6872.5
390,0,1233,1233.39,276,275.99,122.85,623,673.0,0.93,53.08,46.51,9.9,12.11,5.36,3.84,0.75,42.71,44.35,5813,9082,6962.22
391,0,1362,1362.88,267,267.53,74.33,326,340.0,0.96,30.0,26.26,12.21,10.7,2.46,2.45,0.93,53.13,45.18,6228,9665,7333.45
392,0,853,853.84,269,269.43,94.33,481,505.0,0.95,38.59,33.39,13.89,12.4,2.78,2.69,0.54,31.22,30.04,5649,8985,6680.13
393,0,1028,1028.6,274,274.91,83.01,399,421.0,0.95,32.57,28.38,12.65,12.17,2.58,2.33,1.26,72.12,70.79,5718,9280,6950.58
