Feature,Median,Mean,Standard Deviation
Perimeter_PIX,95.25,99.95,18.79
Surface_area_PIX^2,469.0,497.61,118.48
Convex_hull_area_PIX^2,498.0,530.82,133.24
Solidity,0.94,0.94,0.02
Length_PIX,39.2,41.39,8.97
Ellipse_major_axis_PIX,34.36,36.31,8.11
Width_PIX,12.08,11.94,1.08
Ellipse_minor_axis_PIX,11.96,11.99,0.61
Aspect_ratio,3.28,3.52,0.99
Ellipse_aspect_ratio,2.92,3.02,0.62
Mean_intensity,7035.58,7014.71,338.21
