Feature,Median,Mean,Standard Deviation
Perimeter_PIX,171.52,178.38,46.6
Surface_area_PIX^2,882.0,930.01,271.9
Convex_hull_area_PIX^2,961.0,1026.31,359.58
Solidity,0.92,0.91,0.03
Length_PIX,76.06,78.97,21.94
Ellipse_major_axis_PIX,68.76,71.34,19.98
Width_PIX,11.18,10.91,1.07
Ellipse_minor_axis_PIX,11.84,11.83,1.28
Aspect_ratio,6.9,7.4,2.52
Ellipse_aspect_ratio,5.86,6.01,1.44
Mean_intensity,2469.43,2483.09,101.47
