radius,average_local_order_parameter,average_n_close_cells
0.65,,0.0
0.8595444826312565,0.9987460107171385,0.06060606060606061
1.1366411040335909,0.9732883354895193,0.3050173869846001
1.5030670610830352,0.9201977443216117,0.7054148037754595
1.987619999044155,0.8616263216672474,1.4227521112767014
2.628381236532224,0.7912518015760744,2.956780923994039
3.4757086001735273,0.7359744280236068,5.584699453551913
4.596194077712559,0.6905523306863858,10.04073522106309
6.07789732400044,0.6423980806705623,17.480377545951317
8.037266324375164,0.6038721338755834,29.61351217088922
10.628289114699482,0.5710032163964395,50.04669647292598
14.054595797461216,0.537820245825312,83.94436164927968
18.585461958954184,0.5097578593728862,138.80178837555886
24.57697120611104,0.4884792648257205,228.12419274714355
32.5,0.47385979601496625,365.83109786388474
