Feature,Median,Mean,Standard Deviation
Perimeter_PIX,98.33,101.72,22.47
Surface_area_PIX^2,444.0,464.54,130.48
Convex_hull_area_PIX^2,476.0,502.44,148.53
Solidity,0.93,0.93,0.02
Length_PIX,41.3,42.92,10.54
Ellipse_major_axis_PIX,36.42,37.88,9.63
Width_PIX,10.3,10.44,0.92
Ellipse_minor_axis_PIX,10.67,10.77,0.66
Aspect_ratio,3.92,4.17,1.21
Ellipse_aspect_ratio,3.41,3.5,0.78
Mean_intensity,6175.9,6146.19,150.53
