SPOT_ID,TRACK_ID,PREV_TRACK_ID,POSITION_X,POSITION_Y,FRAME,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,ANGLE,ANGULAR_VELOCITY,TOTAL_DISPLACEMENT_VECTOR,TOTAL_DISPLACEMENT,FRAME_GAP,STEP_SPEED,MSD_LAG_TIME,MSD
20487,0,,103.0931785553823,125.82515702106001,0,2.3172763474080567,0.4484147869005721,2.1906527186762452,5.167707254760693,3.139175000000003,,,"[0.0, 0.0]",0.0,0,0.0,0,0.0
30724,0,,102.18481870026855,126.15820905964316,1,2.280083462439903,0.4694659462206692,-0.4950479221310824,4.856760071300605,3.2722625000000076,,,"[-0.9083598551137442, 0.3330520385831477]",0.9674922670423018,1,0.9674922670423018,1,1.2232462584841386
15659,0,,101.69391677675695,125.62606671070829,2,2.3017330131783744,0.4568060325601004,2.4683918242532283,5.038753538955384,3.198325000000003,1.1771197698773717,,"[-0.49090192351160056, -0.5321423489348689]",0.72398907314773,1,0.72398907314773,2,2.3199915530661532
16000,0,,102.44509632616624,125.9106496415761,3,2.2815444134392555,0.4570285312609842,-0.5905381149280243,4.992126874758261,3.1433999999999966,2.6780448827205032,1.5009251128431316,"[0.7511795494092866, 0.2845829308678134]",0.8032796275221061,1,0.8032796275221061,3,2.9472900651596463
29595,0,,102.04380952381291,125.89802054155828,4,2.276235534675809,0.45430245651396467,2.444873735575314,5.010396712670738,3.0166499999999954,2.810913720430953,0.13286883771044966,"[-0.4012868023533258, -0.012629100017818473]",0.4014854815684089,1,0.4014854815684089,4,3.6715850486118398
30360,0,,100.61955234161445,125.9076262626495,5,2.2734532171000312,0.4534299824132786,-0.3422440768505691,5.013901385612152,3.0673499999999905,0.03820539214411932,-2.7727083282868334,"[-1.4242571821984598, 0.009605721091219266]",1.4242895741111001,1,1.4242895741111001,5,4.345583393427794
16399,0,,98.98015033144964,125.99782196970934,6,2.276205196968604,0.4391342021985448,3.0347580329615265,5.1833931075572846,2.9743999999999975,0.04821776240756455,0.01001237026344523,"[-1.6394020101648152, 0.09019570705983426]",1.641881304024277,1,1.641881304024277,6,4.025355643250659
17662,0,,99.2212505859847,125.76564463191609,7,2.256783836193111,0.44308887752156195,2.972219891812502,5.093298321584003,3.003974999999991,2.430007742352491,2.3817899799449265,"[0.24110025453506978, -0.2321773377932459]",0.3347172671399467,1,0.3347172671399467,7,3.9477513936350297
23333,0,,100.31980489415606,125.34706900349438,8,2.297210587326555,0.4592814390667954,2.950787697797279,5.001749236795222,3.1941,0.40250538938047176,-2.027502352972019,"[1.0985543081713587, -0.41857562842170637]",1.1755964974048192,1,1.1755964974048192,8,4.061389966312736
28371,0,,100.40867916950796,125.68962319336048,9,2.263405990036462,0.4437363663173235,-0.3409503442478172,5.100789932592231,3.0694624999999975,1.6809889204010224,1.2784835310205507,"[0.08887427535189829, 0.34255418986609243]",0.3538954786573854,1,0.3538954786573854,9,4.04479946625271
25072,0,,100.55312104788746,125.25247515809393,10,2.2514782437073766,0.4588518606415932,3.060905589329518,4.90676498632746,3.118050000000006,2.5686186125838426,0.8876296921828202,"[0.14444187837949585, -0.4371480352665458]",0.46039315912293727,1,0.46039315912293727,10,3.9356804346265575
27202,0,,101.47384185670873,124.9172650310897,11,2.2014054401237977,0.46866536319322005,-0.0378319233284255,4.69717972142142,3.0567875000000013,0.9025141371148635,-1.666104475468979,"[0.9207208088212724, -0.33521012700423114]",0.9798431696157762,1,0.9798431696157762,11,4.493535641577287
27398,0,,101.78487703039914,125.17544898189342,12,2.2588944443059433,0.4624493417988968,2.8333206993085254,4.884631115527154,3.0779124999999974,1.0419720711328049,0.13945793401794138,"[0.31103517369041356, 0.25818395080372625]",0.404229924331743,1,0.404229924331743,12,4.99161089926432
14409,0,,99.19968687209354,125.24024838136506,13,2.2603099185898974,0.4701566722738283,0.30902696235586435,4.807567459711493,3.1539624999999916,2.4237173175288893,1.3817452463960844,"[-2.5851901583056076, 0.06479939947163871]",2.5860021494136576,1,2.5860021494136576,13,5.39035796782088
42512,0,,100.39713349021363,125.15608663972334,14,2.3117975158061945,0.4609076009439984,2.990979266515531,5.015750469446227,3.141287499999997,3.096484081616413,0.6727667640875237,"[1.1974466181200967, -0.08416174164172219]",1.2004006006343986,1,1.2004006006343986,14,5.696560469357928
43642,0,,100.66049227375241,125.37049337750658,15,2.2377404619866526,0.5078850603141405,-0.05791741230246541,4.4059978070679024,3.189875000000002,0.7534630173404823,-2.3430210642759306,"[0.2633587835387772, 0.2144067377832357]",0.3395999088248901,1,0.3395999088248901,15,5.8405723179187055
42773,0,,99.53250335346439,125.54141124526181,16,2.3100698866824487,0.46490660951149504,3.048612499926908,4.968890180136987,3.149737499999996,2.307918093600527,1.5544550762600444,"[-1.1279889202880184, 0.17091786775523587]",1.1408645501594508,1,1.1408645501594508,16,6.144610323873581
41462,0,,100.08285146633459,125.9139707857953,17,2.2376784382925643,0.4696292602337262,2.7045150575108354,4.7647764476576935,3.1455124999999877,2.396122351594186,0.08820425799365905,"[0.5503481128701964, 0.37255954053348717]",0.6645928502341185,1,0.6645928502341185,17,6.724287493510523
43667,0,,100.21541836273833,125.4938184079687,18,2.2883336561041925,0.4491797655147047,0.018535067911158887,5.094471816828267,3.113825000000006,1.8602514197873157,-0.5358709318068702,"[0.13256689640374475, -0.42015237782659653]",0.4405700881987613,1,0.4405700881987613,18,7.31636144467344
