radius,average_local_order_parameter,average_n_close_cells
0.65,,0.0
0.8595444826312565,0.9986666407673952,0.006779661016949152
1.1366411040335909,0.9319166099994208,0.23135593220338982
1.5030670610830352,0.8505069896869429,0.6279661016949153
1.987619999044155,0.7401764633565086,1.2966101694915255
2.628381236532224,0.6615222978765108,2.942372881355932
3.4757086001735273,0.5935543457715635,5.356779661016949
4.596194077712559,0.5451331883491894,9.38050847457627
6.07789732400044,0.505085088039365,16.39322033898305
8.037266324375164,0.47837782761584785,28.097457627118644
10.628289114699482,0.45840712931997113,48.2864406779661
14.054595797461216,0.4448708360022573,82.42796610169492
18.585461958954184,0.437841543121462,138.39830508474577
24.57697120611104,0.43184115044309085,232.00593220338982
32.5,0.427420457978913,380.35084745762714
